Dermata Therapeutics PE Ratio Historical Data,Dermata Therapeutics PE Ratio Historical Data,Dermata Therapeutics PE Ratio Historical Data,Dermata Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.18,,0.0
2024-09-30,1.64,$-16.41,0.0
2024-06-30,2.39,$-22.47,0.0
2024-03-31,0.41,$-27.74,0.0
2023-12-31,0.61,$-54.72,0.0
2023-09-30,1.06,$-80.36,0.0
2023-06-30,1.65,$-120.24,0.0
2023-03-31,1.29,$-168.37,0.0
2022-12-31,0.41,$-213.49,0.0
2022-09-30,0.52,$-184.71,0.0
2022-06-30,0.65,$-136.73,0.0
