Southern First Bancshares PE Ratio Historical Data,Southern First Bancshares PE Ratio Historical Data,Southern First Bancshares PE Ratio Historical Data,Southern First Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.67,,17.54
2024-12-31,39.75,$1.92,20.7
2024-09-30,34.08,$1.73,19.7
2024-06-30,29.24,$1.70,17.2
2024-03-31,31.76,$1.64,19.37
2023-12-31,37.1,$1.66,22.35
2023-09-30,26.94,$1.83,14.72
2023-06-30,24.75,$2.36,10.49
2023-03-31,30.7,$2.95,10.41
2022-12-31,45.75,$3.60,12.71
2022-09-30,41.66,$4.41,9.45
2022-06-30,43.59,$5.12,8.51
2022-03-31,50.84,$5.51,9.23
2021-12-31,62.49,$5.84,10.7
2021-09-30,53.5,$5.45,9.82
2021-06-30,51.16,$3.98,12.85
2021-03-31,46.88,$3.29,14.25
2020-12-31,35.35,$2.34,15.11
2020-09-30,24.15,$2.16,11.18
2020-06-30,27.71,$2.83,9.79
2020-03-31,28.37,$3.16,8.98
2019-12-31,42.49,$3.58,11.87
2019-09-30,39.85,$3.41,11.69
2019-06-30,39.16,$3.21,12.2
2019-03-31,33.87,$2.99,11.33
2018-12-31,32.07,$2.88,11.14
2018-09-30,39.3,$2.40,16.38
2018-06-30,44.2,$2.20,20.09
2018-03-31,44.5,$1.98,22.47
2017-12-31,41.25,$1.77,23.31
2017-09-30,36.35,$1.99,18.27
2017-06-30,37.05,$1.95,19.0
2017-03-31,32.65,$1.95,16.74
2016-12-31,36.0,$1.94,18.56
2016-09-30,27.58,$1.88,14.67
2016-06-30,24.1,$1.78,13.54
2016-03-31,24.41,$1.68,14.53
2015-12-31,22.7,$1.54,14.74
2015-09-30,20.49,$1.11,18.46
2015-06-30,17.9,$1.01,17.72
2015-03-31,17.0,$0.88,19.32
2014-12-31,17.02,$0.79,21.54
2014-09-30,13.94,$1.06,13.15
2014-06-30,13.46,$1.02,13.2
2014-03-31,13.87,$1.01,13.73
2013-12-31,13.28,$0.97,13.69
2013-09-30,13.2,$0.92,14.35
2013-06-30,10.99,$0.65,16.91
2013-03-31,10.45,$0.54,19.48
2012-12-31,8.45,$0.45,18.9
2012-09-30,8.15,$0.26,31.28
2012-06-30,7.73,$0.30,25.61
2012-03-31,6.23,$0.23,26.91
2011-12-31,5.91,$0.19,31.08
2011-09-30,5.7,$0.18,31.77
2011-06-30,7.02,$0.14,50.83
2011-03-31,6.6,$0.01,550.28
2010-12-31,5.6,$-0.11,0.0
2010-09-30,4.97,$-0.16,0.0
2010-06-30,5.44,$-0.14,0.0
2010-03-31,6.09,$-0.08,0.0
2009-12-31,4.96,$0.09,54.97
