North European Oil Royality Trust PE Ratio Historical Data,North European Oil Royality Trust PE Ratio Historical Data,North European Oil Royality Trust PE Ratio Historical Data,North European Oil Royality Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.96,,9.72
2025-01-31,4.52,$0.51,8.86
2024-10-31,5.11,$0.52,9.82
2024-07-31,6.35,$0.46,13.8
2024-04-30,6.74,$0.46,14.64
2024-01-31,4.68,$1.31,3.57
2023-10-31,10.11,$2.26,4.48
2023-07-31,13.83,$3.00,4.61
2023-04-30,11.62,$3.25,3.58
2023-01-31,12.02,$2.58,4.66
2022-10-31,11.72,$1.83,6.4
2022-07-31,12.47,$1.23,10.14
2022-04-30,14.34,$0.92,15.58
2022-01-31,8.01,$0.68,11.78
2021-10-31,7.22,$0.47,15.37
2021-07-31,5.1,$0.35,14.58
2021-04-30,3.58,$0.31,11.54
2021-01-31,2.66,$0.28,9.51
2020-10-31,2.03,$0.32,6.36
2020-07-31,1.89,$0.46,4.11
2020-04-30,2.09,$0.57,3.66
2020-01-31,3.31,$0.68,4.87
2019-10-31,3.58,$0.82,4.37
2019-07-31,4.08,$0.81,5.03
2019-04-30,3.91,$0.78,5.01
2019-01-31,3.4,$0.75,4.54
2018-10-31,3.76,$0.70,5.37
2018-07-31,4.09,$0.77,5.32
2018-04-30,4.36,$0.78,5.59
2018-01-31,4.19,$0.77,5.44
2017-10-31,3.16,$0.75,4.21
2017-07-31,2.83,$0.65,4.35
2017-04-30,3.19,$0.60,5.31
2017-01-31,3.03,$0.65,4.66
2016-10-31,3.35,$0.66,5.08
2016-07-31,4.1,$0.77,5.32
2016-04-30,3.87,$0.98,3.95
2016-01-31,3.37,$1.08,3.12
2015-10-31,3.91,$1.27,3.08
2015-07-31,3.84,$1.43,2.68
2015-04-30,5.25,$1.53,3.43
2015-01-31,4.83,$1.76,2.75
2014-10-31,6.5,$1.95,3.33
2014-07-31,8.09,$2.09,3.87
2014-04-30,8.18,$2.12,3.86
2014-01-31,7.13,$2.20,3.24
2013-10-31,7.41,$2.25,3.29
2013-07-31,8.25,$2.23,3.7
2013-04-30,7.68,$2.35,3.27
2013-01-31,7.78,$2.39,3.26
2012-10-31,8.4,$2.46,3.42
2012-07-31,9.08,$2.59,3.5
2012-04-30,9.47,$2.69,3.52
2012-01-31,9.04,$2.74,3.3
2011-10-31,9.1,$2.63,3.46
2011-07-31,8.69,$2.55,3.41
2011-04-30,8.28,$2.31,3.59
2011-01-31,7.8,$2.08,3.75
2010-10-31,7.23,$2.03,3.56
2010-07-31,6.62,$1.85,3.58
2010-04-30,7.25,$1.95,3.72
2010-01-31,7.37,$2.44,3.02
2009-10-31,7.44,$3.01,2.47
