Aflac PE Ratio Historical Data,Aflac PE Ratio Historical Data,Aflac PE Ratio Historical Data,Aflac PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,108.7,,11.32
2024-12-31,103.44,$9.60,10.78
2024-09-30,111.3,$6.64,16.76
2024-06-30,88.49,$9.45,9.36
2024-03-31,84.59,$9.06,9.34
2023-12-31,80.76,$7.75,10.42
2023-09-30,74.75,$7.59,9.85
2023-06-30,67.59,$7.48,9.04
2023-03-31,62.08,$6.93,8.96
2022-12-31,68.8,$6.57,10.47
2022-09-30,53.45,$7.84,6.82
2022-06-30,52.28,$6.63,7.89
2022-03-31,60.42,$6.09,9.92
2021-12-31,54.45,$6.38,8.53
2021-09-30,48.33,$6.16,7.85
2021-06-30,49.47,$8.28,5.97
2021-03-31,46.9,$7.78,6.03
2020-12-31,40.47,$6.69,6.05
2020-09-30,32.86,$6.40,5.13
2020-06-30,32.33,$4.00,8.08
2020-03-31,30.47,$3.97,7.68
2019-12-31,46.82,$4.42,10.59
2019-09-30,46.08,$4.05,11.38
2019-06-30,48.02,$4.10,11.71
2019-03-31,43.58,$4.08,10.68
2018-12-31,39.49,$3.76,10.5
2018-09-30,40.56,$6.05,6.71
2018-06-30,36.87,$5.86,6.3
2018-03-31,37.29,$5.68,6.57
2017-12-31,37.18,$5.51,6.75
2017-09-30,34.29,$3.45,9.94
2017-06-30,32.56,$3.32,9.82
2017-03-31,30.18,$3.08,9.8
2016-12-31,28.83,$3.22,8.97
2016-09-30,29.59,$3.15,9.39
2016-06-30,29.54,$3.05,9.7
2016-03-31,25.7,$3.05,8.44
2015-12-31,24.2,$2.93,8.26
2015-09-30,23.33,$2.86,8.16
2015-06-30,24.82,$2.98,8.33
2015-03-31,25.39,$3.21,7.91
2014-12-31,24.08,$3.26,7.4
2014-09-30,22.81,$3.20,7.14
2014-06-30,24.23,$3.17,7.65
2014-03-31,24.39,$3.23,7.56
2013-12-31,25.69,$3.38,7.61
2013-09-30,23.71,$3.27,7.25
2013-06-30,22.1,$3.60,6.14
2013-03-31,19.66,$3.17,6.21
2012-12-31,19.93,$3.06,6.52
2012-09-30,17.84,$3.02,5.91
2012-06-30,15.75,$2.74,5.76
2012-03-31,16.88,$2.52,6.7
2011-12-31,15.77,$2.10,7.51
2011-09-30,12.65,$1.98,6.4
2011-06-30,16.76,$1.91,8.77
2011-03-31,18.84,$2.23,8.47
2010-12-31,20.04,$2.48,8.08
2010-09-30,18.27,$2.29,7.99
2010-06-30,14.98,$1.94,7.72
2010-03-31,18.95,$1.66,11.42
2009-12-31,16.05,$1.60,10.06
