Sea PE Ratio Historical Data,Sea PE Ratio Historical Data,Sea PE Ratio Historical Data,Sea PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,127.09,,847.27
2024-09-30,94.28,$0.15,628.53
2024-06-30,71.42,$-0.35,0.0
2024-03-31,53.71,$0.05,1074.2
2023-12-31,40.5,$0.24,168.75
2023-09-30,43.95,$1.15,38.22
2023-06-30,58.04,$0.39,148.82
2023-03-31,86.55,$-1.82,0.0
2022-12-31,52.03,$-3.01,0.0
2022-09-30,56.05,$-4.85,0.0
2022-06-30,66.86,$-4.89,0.0
2022-03-31,119.79,$-4.05,0.0
2021-12-31,223.71,$-3.83,0.0
2021-09-30,318.73,$-3.77,0.0
2021-06-30,274.6,$-3.58,0.0
2021-03-31,223.23,$-3.59,0.0
2020-12-31,199.05,$-3.38,0.0
2020-09-30,154.04,$-2.94,0.0
2020-06-30,107.24,$-2.07,0.0
2020-03-31,44.31,$-1.72,0.0
2019-12-31,40.22,$-2.97,0.0
2019-09-30,30.95,$-3.16,0.0
2019-06-30,33.22,$-3.80,0.0
2019-03-31,23.52,$-4.05,0.0
2018-12-31,11.32,$-2.83,0.0
2018-09-30,13.83,$-2.92,0.0
