Healthcare Services PE Ratio Historical Data,Healthcare Services PE Ratio Historical Data,Healthcare Services PE Ratio Historical Data,Healthcare Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.55,,19.54
2024-12-31,11.62,$0.54,21.51
2024-09-30,11.17,$0.69,16.19
2024-06-30,10.58,$0.43,24.6
2024-03-31,12.48,$0.57,21.89
2023-12-31,10.37,$0.53,19.57
2023-09-30,10.43,$0.44,23.7
2023-06-30,14.93,$0.51,29.27
2023-03-31,13.87,$0.48,28.9
2022-12-31,12.0,$0.46,26.09
2022-09-30,11.9,$0.27,44.08
2022-06-30,16.9,$0.40,42.24
2022-03-31,17.8,$0.44,40.45
2021-12-31,16.82,$0.62,27.13
2021-09-30,23.37,$0.96,24.35
2021-06-30,29.28,$1.20,24.4
2021-03-31,25.82,$1.38,18.71
2020-12-31,25.7,$1.32,19.47
2020-09-30,19.52,$1.20,16.26
2020-06-30,21.97,$1.08,20.34
2020-03-31,21.28,$1.01,21.07
2019-12-31,21.5,$0.86,25.0
2019-09-30,21.3,$1.03,20.68
2019-06-30,26.35,$1.13,23.32
2019-03-31,28.49,$1.24,22.98
2018-12-31,34.53,$1.12,30.83
2018-09-30,34.76,$0.97,35.83
2018-06-30,36.79,$0.93,39.55
2018-03-31,36.84,$0.88,41.86
2017-12-31,44.49,$1.18,37.71
2017-09-30,45.38,$1.19,38.13
2017-06-30,39.23,$1.15,34.11
2017-03-31,35.95,$1.11,32.39
2016-12-31,32.53,$1.07,30.4
2016-09-30,32.71,$0.92,35.56
2016-06-30,34.04,$0.89,38.25
2016-03-31,30.13,$0.86,35.04
2015-12-31,28.39,$0.82,34.63
2015-09-30,27.31,$0.91,30.01
2015-06-30,26.64,$0.36,74.01
2015-03-31,25.75,$0.33,78.04
2014-12-31,24.66,$0.32,77.06
2014-09-30,22.68,$0.18,125.98
2014-06-30,23.19,$0.69,33.61
2014-03-31,22.75,$0.68,33.46
2013-12-31,22.07,$0.69,31.99
2013-09-30,19.92,$0.80,24.9
2013-06-30,18.83,$0.77,24.45
2013-03-31,19.53,$0.75,26.05
2012-12-31,17.58,$0.66,26.64
2012-09-30,17.19,$0.63,27.28
2012-06-30,14.46,$0.61,23.71
2012-03-31,15.75,$0.59,26.69
2011-12-31,12.99,$0.58,22.4
2011-09-30,11.75,$0.56,20.97
2011-06-30,11.71,$0.55,21.28
2011-03-31,12.54,$0.53,23.51
2010-12-31,11.51,$0.53,21.86
2010-09-30,10.64,$0.49,21.87
2010-06-30,8.76,$0.47,18.51
2010-03-31,10.27,$0.46,22.32
2009-12-31,9.72,$0.47,20.84
