Precision BioSciences PE Ratio Historical Data,Precision BioSciences PE Ratio Historical Data,Precision BioSciences PE Ratio Historical Data,Precision BioSciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.36,,89.33
2024-09-30,8.96,$0.06,149.33
2024-06-30,9.73,$0.21,46.8
2024-03-31,13.56,$-7.47,0.0
2023-12-31,10.95,$-16.07,0.0
2023-09-30,10.24,$-19.82,0.0
2023-06-30,15.78,$-24.32,0.0
2023-03-31,22.61,$-35.14,0.0
2022-12-31,35.7,$-42.04,0.0
2022-09-30,39.0,$-45.65,0.0
2022-06-30,48.0,$-44.74,0.0
2022-03-31,92.4,$-20.12,0.0
2021-12-31,222.0,$-16.22,0.0
2021-09-30,346.2,$-18.02,0.0
2021-06-30,375.6,$-27.33,0.0
2021-03-31,310.5,$-57.06,0.0
2020-12-31,250.2,$-62.76,0.0
2020-09-30,184.8,$-60.36,0.0
2020-06-30,249.9,$-57.66,0.0
2020-03-31,180.9,$-50.45,0.0
2019-12-31,416.7,$-94.60,0.0
