AdvanSix PE Ratio Historical Data,AdvanSix PE Ratio Historical Data,AdvanSix PE Ratio Historical Data,AdvanSix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.31,,14.48
2024-12-31,28.49,$1.61,17.7
2024-09-30,30.22,$1.41,21.43
2024-06-30,22.67,$0.30,75.56
2024-03-31,28.11,$0.03,936.86
2023-12-31,29.27,$1.90,15.41
2023-09-30,30.17,$3.27,9.23
2023-06-30,33.81,$3.91,8.65
2023-03-31,36.83,$4.98,7.4
2022-12-31,36.46,$5.91,6.17
2022-09-30,30.67,$5.53,5.55
2022-06-30,31.83,$6.69,4.76
2022-03-31,48.5,$5.99,8.1
2021-12-31,44.72,$4.82,9.28
2021-09-30,37.52,$4.96,7.57
2021-06-30,28.19,$3.43,8.22
2021-03-31,25.32,$2.31,10.96
2020-12-31,18.87,$1.64,11.51
2020-09-30,12.16,$0.62,19.61
2020-06-30,11.08,$0.92,12.05
2020-03-31,9.01,$1.04,8.66
2019-12-31,18.84,$1.41,13.36
2019-09-30,24.28,$2.17,11.19
2019-06-30,23.06,$2.07,11.14
2019-03-31,26.97,$2.45,11.01
2018-12-31,22.98,$2.14,10.74
2018-09-30,32.05,$3.77,8.5
2018-06-30,34.58,$4.27,8.1
2018-03-31,32.83,$4.19,7.84
2017-12-31,39.72,$4.70,8.45
2017-09-30,37.52,$1.58,23.75
