Radware PE Ratio Historical Data,Radware PE Ratio Historical Data,Radware PE Ratio Historical Data,Radware PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.62,,0.0
2024-09-30,22.28,$-0.06,0.0
2024-06-30,18.24,$-0.29,0.0
2024-03-31,18.72,$-0.46,0.0
2023-12-31,16.68,$-0.50,0.0
2023-09-30,16.92,$-0.45,0.0
2023-06-30,19.39,$-0.36,0.0
2023-03-31,21.54,$-0.16,0.0
2022-12-31,19.75,$-0.01,0.0
2022-09-30,21.79,$-0.04,0.0
2022-06-30,21.67,$0.13,166.69
2022-03-31,31.97,$0.16,199.81
2021-12-31,41.64,$0.16,260.25
2021-09-30,33.72,$0.34,99.18
2021-06-30,30.78,$0.32,96.19
2021-03-31,26.08,$0.23,113.39
2020-12-31,27.75,$0.20,138.75
2020-09-30,24.24,$0.29,83.59
2020-06-30,23.59,$0.36,65.53
2020-03-31,21.07,$0.43,49.0
2019-12-31,25.78,$0.47,54.85
2019-09-30,24.26,$0.48,50.54
2019-06-30,24.73,$0.39,63.41
2019-03-31,26.13,$0.35,74.66
2018-12-31,22.71,$0.24,94.63
2018-09-30,26.47,$0.13,203.62
2018-06-30,25.28,$0.04,632.0
2018-03-31,21.35,$-0.09,0.0
2017-12-31,19.4,$-0.16,0.0
2017-09-30,16.86,$-0.26,0.0
2017-06-30,17.54,$-0.29,0.0
2017-03-31,16.16,$-0.23,0.0
2016-12-31,14.58,$-0.20,0.0
2016-09-30,13.74,$-0.06,0.0
2016-06-30,11.26,$0.01,0.0
2016-03-31,11.83,$0.19,62.26
2015-12-31,15.34,$0.39,39.33
2015-09-30,16.26,$0.49,33.18
2015-06-30,22.2,$0.65,34.15
2015-03-31,20.91,$0.58,36.05
2014-12-31,22.02,$0.53,41.55
2014-09-30,17.66,$0.46,38.39
2014-06-30,16.87,$0.35,48.2
2014-03-31,17.68,$0.38,46.53
2013-12-31,17.98,$0.39,46.1
2013-09-30,13.95,$0.47,30.0
2013-06-30,13.79,$0.58,23.78
2013-03-31,18.87,$0.63,29.94
2012-12-31,16.5,$0.68,24.26
2012-09-30,18.01,$0.63,28.59
2012-06-30,19.15,$0.58,33.3
2012-03-31,18.72,$0.52,36.0
2011-12-31,14.63,$0.47,31.45
2011-09-30,10.8,$0.41,26.65
2011-06-30,17.42,$0.37,47.08
2011-03-31,17.72,$0.30,59.07
2010-12-31,18.76,$0.22,85.25
2010-09-30,17.18,$0.18,95.44
2010-06-30,10.24,$0.10,102.35
2010-03-31,11.04,$0.02,552.0
2009-12-31,7.56,$-0.16,0.0
