FlexShopper PE Ratio Historical Data,FlexShopper PE Ratio Historical Data,FlexShopper PE Ratio Historical Data,FlexShopper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.55,,0.0
2024-09-30,1.03,$-0.17,0.0
2024-06-30,1.28,$-0.23,0.0
2024-03-31,1.49,$-0.32,0.0
2023-12-31,1.67,$-0.32,0.0
2023-09-30,1.05,$-0.02,0.0
2023-06-30,1.28,$-0.33,0.0
2023-03-31,0.85,$0.40,2.13
2022-12-31,0.93,$0.32,2.89
2022-09-30,1.86,$0.05,37.2
2022-06-30,0.9,$0.42,2.14
2022-03-31,1.71,$-0.08,0.0
2021-12-31,2.35,$0.03,78.33
2021-09-30,3.09,$-0.02,0.0
2021-06-30,2.97,$-0.09,0.0
2021-03-31,2.63,$-0.14,0.0
2020-12-31,2.57,$-0.17,0.0
2020-09-30,1.77,$-0.21,0.0
2020-06-30,1.74,$-0.15,0.0
2020-03-31,1.27,$-0.16,0.0
2019-12-31,2.53,$-0.11,0.0
2019-09-30,1.54,$-0.38,0.0
2019-06-30,1.1,$-0.98,0.0
2019-03-31,0.82,$-1.41,0.0
2018-12-31,0.76,$-1.95,0.0
2018-09-30,0.87,$-2.46,0.0
2018-06-30,3.19,$-2.34,0.0
2018-03-31,3.02,$-2.26,0.0
2017-12-31,3.8,$-2.01,0.0
2017-09-30,5.44,$-1.91,0.0
