"DINE BRANDS GLOBAL, INC PE Ratio Historical Data","DINE BRANDS GLOBAL, INC PE Ratio Historical Data","DINE BRANDS GLOBAL, INC PE Ratio Historical Data","DINE BRANDS GLOBAL, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.29,,6.01
2024-12-31,30.1,$4.21,7.15
2024-09-30,31.23,$6.01,5.2
2024-06-30,35.59,$5.96,5.97
2024-03-31,45.1,$5.62,8.02
2023-12-31,47.65,$6.23,7.65
2023-09-30,46.97,$4.81,9.77
2023-06-30,54.6,$4.94,11.05
2023-03-31,63.1,$5.23,12.06
2022-12-31,59.79,$4.94,12.1
2022-09-30,58.37,$5.36,10.89
2022-06-30,59.34,$5.37,11.05
2022-03-31,70.52,$5.61,12.57
2021-12-31,68.18,$5.67,12.03
2021-09-30,72.65,$4.43,16.4
2021-06-30,79.85,$3.70,21.58
2021-03-31,80.54,$-6.03,0.0
2020-12-31,51.89,$-6.23,0.0
2020-09-30,48.84,$-4.54,0.0
2020-06-30,37.66,$-3.78,0.0
2020-03-31,25.66,$5.44,4.72
2019-12-31,71.65,$5.86,12.23
2019-09-30,64.54,$5.74,11.24
2019-06-30,80.43,$5.67,14.19
2019-03-31,76.36,$5.18,14.74
2018-12-31,55.88,$4.37,12.79
2018-09-30,66.91,$7.57,8.84
2018-06-30,61.07,$-18.70,0.0
2018-03-31,53.11,$-18.21,0.0
2017-12-31,40.69,$-18.34,0.0
2017-09-30,33.81,$-21.83,0.0
2017-06-30,33.85,$4.48,7.55
2017-03-31,40.89,$4.75,8.61
2016-12-31,56.83,$5.33,10.66
2016-09-30,57.77,$5.50,10.5
2016-06-30,61.12,$5.45,11.21
2016-03-31,66.61,$5.40,12.34
2015-12-31,59.78,$5.50,10.87
2015-09-30,64.02,$2.97,21.55
2015-06-30,68.56,$2.68,25.58
2015-03-31,73.39,$2.28,32.19
2014-12-31,70.49,$1.89,37.29
2014-09-30,55.0,$4.01,13.72
2014-06-30,53.1,$3.99,13.31
2014-03-31,51.67,$3.86,13.39
2013-12-31,54.8,$3.71,14.77
2013-09-30,44.85,$3.74,11.99
2013-06-30,44.26,$5.91,7.49
2013-03-31,43.75,$5.92,7.39
2012-12-31,42.16,$6.63,6.36
2012-09-30,35.24,$7.17,4.92
2012-06-30,28.09,$4.88,5.76
2012-03-31,31.21,$3.98,7.84
2011-12-31,26.56,$3.87,6.86
2011-09-30,24.22,$-0.97,0.0
2011-06-30,32.89,$-1.38,0.0
2011-03-31,34.6,$-0.94,0.0
2010-12-31,31.08,$-1.72,0.0
2010-09-30,28.31,$-1.23,0.0
2010-06-30,17.57,$-1.21,0.0
2010-03-31,24.88,$-0.54,0.0
2009-12-31,15.29,$0.51,29.97
