Momentus PE Ratio Historical Data,Momentus PE Ratio Historical Data,Momentus PE Ratio Historical Data,Momentus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.93,,0.0
2024-09-30,6.18,$-21.43,0.0
2024-06-30,7.5,$-115.97,0.0
2024-03-31,6.05,$-250.14,0.0
2023-12-31,24.22,$-408.96,0.0
2023-09-30,28.0,$-619.05,0.0
2023-06-30,220.5,$-700.28,0.0
2023-03-31,409.5,$-756.30,0.0
2022-12-31,545.93,$-826.33,0.0
2022-09-30,959.0,$-651.26,0.0
2022-06-30,1512.0,$-532.21,0.0
2022-03-31,2233.0,$-336.13,0.0
2021-12-31,2926.0,$-98.04,0.0
2021-09-30,7420.0,$-63.03,0.0
2021-06-30,9779.0,0,0.0
2021-03-31,9261.0,0,0.0
2020-12-31,12572.0,0,0.0
