GT Biopharma PE Ratio Historical Data,GT Biopharma PE Ratio Historical Data,GT Biopharma PE Ratio Historical Data,GT Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.26,,0.0
2024-12-31,3.05,$-7.00,0.0
2024-09-30,2.31,$-5.34,0.0
2024-06-30,2.83,$-5.61,0.0
2024-03-31,4.43,$-4.94,0.0
2023-12-31,0.26,$-3.60,0.0
2023-09-30,0.24,$-9.01,0.0
2023-06-30,0.31,$-13.81,0.0
2023-03-31,0.55,$-15.32,0.0
2022-12-31,0.89,$-20.12,0.0
2022-09-30,1.76,$-30.33,0.0
2022-06-30,2.99,$-28.83,0.0
2022-03-31,2.88,$-30.33,0.0
2021-12-31,3.05,$-80.18,0.0
