ModivCare PE Ratio Historical Data,ModivCare PE Ratio Historical Data,ModivCare PE Ratio Historical Data,ModivCare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.18,,0.0
2024-12-31,11.84,$-14.15,0.0
2024-09-30,14.28,$-12.88,0.0
2024-06-30,26.24,$-11.31,0.0
2024-03-31,23.45,$-15.71,0.0
2023-12-31,43.99,$-14.42,0.0
2023-09-30,31.51,$-14.54,0.0
2023-06-30,45.21,$-16.27,0.0
2023-03-31,84.08,$-2.56,0.0
2022-12-31,89.73,$-2.26,0.0
2022-09-30,99.68,$-4.02,0.0
2022-06-30,84.5,$-2.53,0.0
2022-03-31,115.39,$-1.81,0.0
2021-12-31,148.29,$-0.52,0.0
2021-09-30,181.62,$1.51,120.28
2021-06-30,170.07,$4.55,37.38
2021-03-31,148.12,$2.61,56.75
2020-12-31,138.63,$2.30,60.27
2020-09-30,92.91,$1.97,47.16
2020-06-30,78.91,$-0.06,0.0
2020-03-31,54.88,$0.70,78.4
2019-12-31,59.18,$-0.34,0.0
2019-09-30,59.46,$-1.46,0.0
2019-06-30,57.34,$-1.52,0.0
2019-03-31,66.62,$-2.25,0.0
2018-12-31,60.02,$-1.92,0.0
2018-09-30,67.28,$2.16,31.15
2018-06-30,78.55,$2.63,29.87
2018-03-31,69.14,$3.76,18.39
2017-12-31,59.34,$3.07,19.33
2017-09-30,54.08,$5.58,9.69
2017-06-30,50.61,$4.65,10.88
2017-03-31,44.44,$4.68,9.5
2016-12-31,38.05,$5.15,7.39
2016-09-30,48.63,$4.30,11.31
2016-06-30,44.88,$3.94,11.39
2016-03-31,51.07,$3.99,12.8
2015-12-31,46.92,$4.24,11.07
2015-09-30,43.58,$0.62,70.29
2015-06-30,44.28,$1.05,42.17
2015-03-31,53.12,$1.25,42.5
2014-12-31,36.44,$1.37,26.6
2014-09-30,48.38,$1.16,41.71
2014-06-30,36.59,$1.39,26.32
2014-03-31,28.28,$1.36,20.79
2013-12-31,25.72,$1.41,18.24
2013-09-30,28.69,$1.39,20.64
2013-06-30,29.09,$1.23,23.65
2013-03-31,18.49,$0.91,20.32
2012-12-31,16.99,$0.65,26.14
2012-09-30,12.99,$0.65,19.98
2012-06-30,13.71,$0.71,19.31
2012-03-31,15.51,$0.96,16.16
2011-12-31,13.76,$1.07,12.86
2011-09-30,10.65,$1.18,9.03
2011-06-30,12.65,$1.25,10.12
2011-03-31,14.98,$1.43,10.48
2010-12-31,16.07,$1.75,9.18
2010-09-30,16.39,$1.84,8.91
2010-06-30,14.0,$1.96,7.14
2010-03-31,15.19,$1.82,8.35
2009-12-31,15.8,$1.60,9.88
