Orion S.A PE Ratio Historical Data,Orion S.A PE Ratio Historical Data,Orion S.A PE Ratio Historical Data,Orion S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.83,,18.44
2024-12-31,15.79,$0.75,21.05
2024-09-30,17.79,$0.53,33.56
2024-06-30,21.89,$1.32,16.59
2024-03-31,23.45,$1.48,15.84
2023-12-31,27.62,$1.73,15.97
2023-09-30,21.18,$1.85,11.45
2023-06-30,21.1,$1.93,10.93
2023-03-31,25.92,$1.91,13.57
2022-12-31,17.68,$1.74,10.16
2022-09-30,13.24,$1.55,8.54
2022-06-30,15.38,$1.38,11.14
2022-03-31,15.79,$2.36,6.69
2021-12-31,18.11,$2.22,8.16
2021-09-30,17.98,$2.35,7.65
2021-06-30,18.73,$2.15,8.71
2021-03-31,19.45,$0.39,49.88
2020-12-31,16.91,$0.29,58.3
2020-09-30,12.34,$0.46,26.83
2020-06-30,10.45,$0.70,14.92
2020-03-31,7.36,$1.39,5.29
2019-12-31,18.7,$1.41,13.27
2019-09-30,16.03,$1.43,11.21
2019-06-30,20.3,$1.44,14.1
2019-03-31,17.82,$1.91,9.33
2018-12-31,23.51,$2.00,11.75
2018-09-30,29.6,$2.08,14.23
2018-06-30,28.28,$1.93,14.65
2018-03-31,24.69,$1.37,18.02
2017-12-31,23.16,$1.25,18.53
2017-09-30,20.14,$1.17,17.22
2017-06-30,17.9,$0.85,21.06
2017-03-31,18.2,$0.86,21.16
2016-12-31,16.73,$0.82,20.41
2016-09-30,16.63,$0.52,31.99
2016-06-30,14.11,$0.81,17.41
2016-03-31,12.53,$0.76,16.49
2015-12-31,11.18,$0.80,13.98
2015-09-30,12.64,$0.61,20.72
2015-06-30,15.95,$-0.46,0.0
