Mitsubishi UFJ Financial PE Ratio Historical Data,Mitsubishi UFJ Financial PE Ratio Historical Data,Mitsubishi UFJ Financial PE Ratio Historical Data,Mitsubishi UFJ Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.33,,20.18
2024-12-31,11.72,$0.71,16.51
2024-06-30,10.63,$0.98,10.84
2023-06-30,7.05,$0.81,8.7
2022-06-30,4.89,$0.75,6.53
2021-06-30,4.81,$0.90,5.34
2020-06-30,3.32,$0.82,4.05
2019-06-30,3.81,$0.82,4.65
2018-06-30,4.44,$0.70,6.35
2017-06-30,5.24,$0.65,8.07
2016-06-30,3.35,$0.64,5.23
2015-06-30,5.29,$0.78,6.78
2014-06-30,4.51,$0.83,5.43
2013-06-30,4.51,$0.75,6.01
2013-03-31,4.36,$0.74,5.89
2012-12-31,3.89,$0.61,6.37
2012-09-30,3.34,$0.51,6.54
2012-06-30,3.36,$0.59,5.69
2012-03-31,3.52,$0.84,4.19
2011-12-31,2.92,$0.70,4.17
2011-09-30,3.1,$0.76,4.08
2011-06-30,3.32,$0.74,4.48
2011-03-31,3.16,$0.45,7.02
2010-12-31,3.67,$0.58,6.32
2010-09-30,3.14,$0.48,6.54
2010-06-30,3.05,$0.38,8.02
2010-03-31,3.49,$0.32,10.92
2009-12-31,3.25,$-0.03,0.0
