Traws Pharma PE Ratio Historical Data,Traws Pharma PE Ratio Historical Data,Traws Pharma PE Ratio Historical Data,Traws Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.88,,0.0
2024-09-30,5.88,$-141.56,0.0
2024-06-30,11.17,$-138.50,0.0
2024-03-31,25.25,$-21.75,0.0
2023-12-31,18.64,$-22.75,0.0
2023-09-30,17.79,$-24.25,0.0
2023-06-30,29.5,$-25.00,0.0
2023-03-31,18.27,$-24.75,0.0
2022-12-31,16.14,$-22.75,0.0
2022-09-30,22.03,$-20.25,0.0
2022-06-30,33.0,$-19.25,0.0
2022-03-31,46.0,$-21.25,0.0
2021-12-31,63.75,$-23.75,0.0
2021-09-30,95.75,$-30.99,0.0
2021-06-30,173.25,$-36.73,0.0
2021-03-31,374.59,$-44.98,0.0
2020-12-31,174.68,$-48.73,0.0
2020-09-30,105.0,$-37.48,0.0
2020-06-30,212.29,$-307.35,0.0
2020-03-31,113.63,$-517.24,0.0
2019-12-31,143.63,$-989.51,0.0
2019-09-30,318.6,"$-1,308.10",0.0
2019-06-30,1068.75,"$-1,379.31",0.0
2019-03-31,1237.5,"$-1,547.58",0.0
2018-12-31,791.25,"$-2,973.71",0.0
2018-09-30,2752.5,"$-5,968.90",0.0
2018-06-30,2275.31,"$-9,604.34",0.0
2018-03-31,4696.87,"$-10,839.98",0.0
2017-12-31,8437.5,"$-15,838.73",0.0
2017-09-30,9618.75,"$-15,557.90",0.0
2017-06-30,12150.0,"$-13,198.94",0.0
2017-03-31,17100.0,"$-22,578.62",0.0
2016-12-31,12768.75,"$-30,834.98",0.0
2016-09-30,14906.25,"$-17,692.20",0.0
2016-06-30,32512.5,"$-30,666.48",0.0
2016-03-31,32625.0,"$-42,685.95",0.0
2015-12-31,53819.99,"$-59,535.67",0.0
2015-09-30,76499.99,"$-104,468.24",0.0
2015-06-30,133312.49,"$-128,619.50",0.0
2015-03-31,135562.49,"$-148,839.15",0.0
2014-12-31,185062.48,"$-165,688.86",0.0
2014-09-30,241874.98,"$-169,058.81",0.0
2014-06-30,305437.47,"$-205,566.52",0.0
