Patterson-UTI Energy PE Ratio Historical Data,Patterson-UTI Energy PE Ratio Historical Data,Patterson-UTI Energy PE Ratio Historical Data,Patterson-UTI Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.41,,0.0
2024-12-31,8.26,$-2.47,0.0
2024-09-30,7.58,$-2.19,0.0
2024-06-30,10.17,$0.31,32.8
2024-03-31,11.63,$0.68,17.1
2023-12-31,10.45,$1.01,10.34
2023-09-30,13.3,$1.32,10.07
2023-06-30,11.44,$1.60,7.15
2023-03-31,11.09,$1.30,8.53
2022-12-31,15.87,$0.71,22.35
2022-09-30,10.96,$-1.43,0.0
2022-06-30,14.75,$-2.15,0.0
2022-03-31,14.45,$-2.80,0.0
2021-12-31,7.87,$-3.24,0.0
2021-09-30,8.36,$-2.13,0.0
2021-06-30,9.2,$-2.29,0.0
2021-03-31,6.59,$-2.55,0.0
2020-12-31,4.85,$-4.26,0.0
2020-09-30,2.62,$-4.13,0.0
2020-06-30,3.17,$-4.84,0.0
2020-03-31,2.14,$-4.27,0.0
2019-12-31,9.47,$-2.13,0.0
2019-09-30,7.68,$-2.62,0.0
2019-06-30,10.29,$-1.65,0.0
2019-03-31,12.48,$-1.46,0.0
2018-12-31,9.19,$-1.48,0.0
2018-09-30,15.14,$0.33,45.89
2018-06-30,15.89,$0.51,31.16
2018-03-31,15.43,$0.10,154.27
2017-12-31,20.25,$-0.14,0.0
2017-09-30,18.41,$-1.55,0.0
2017-06-30,17.73,$-1.97,0.0
2017-03-31,21.3,$-2.09,0.0
2016-12-31,23.6,$-2.17,0.0
2016-09-30,19.6,$-2.04,0.0
2016-06-30,18.66,$-3.00,0.0
2016-03-31,15.41,$-2.55,0.0
2015-12-31,13.11,$-2.01,0.0
2015-09-30,11.35,$-1.22,0.0
2015-06-30,16.14,$0.43,37.53
2015-03-31,16.03,$0.93,17.23
2014-12-31,14.08,$1.11,12.69
2014-09-30,27.43,$0.83,33.05
2014-06-30,29.38,$1.23,23.88
2014-03-31,26.56,$1.14,23.29
2013-12-31,21.15,$1.28,16.53
2013-09-30,17.82,$1.57,11.35
2013-06-30,16.1,$1.39,11.58
2013-03-31,19.78,$1.71,11.57
2012-12-31,15.42,$1.95,7.91
2012-09-30,13.06,$2.11,6.19
2012-06-30,11.98,$2.31,5.19
2012-03-31,14.18,$2.23,6.36
2011-12-31,16.34,$2.07,7.89
2011-09-30,14.15,$1.86,7.6
2011-06-30,25.73,$1.52,16.93
2011-03-31,23.88,$1.19,20.07
2010-12-31,17.48,$0.76,23.0
2010-09-30,13.82,$0.29,47.66
2010-06-30,10.38,$-0.02,0.0
2010-03-31,11.23,$-0.33,0.0
2009-12-31,12.3,$-0.25,0.0
