Smart Sand PE Ratio Historical Data,Smart Sand PE Ratio Historical Data,Smart Sand PE Ratio Historical Data,Smart Sand PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.45,,35.0
2024-12-31,2.25,$0.07,32.14
2024-09-30,1.88,$-0.14,0.0
2024-06-30,2.02,$0.04,50.45
2024-03-31,1.83,$0.22,8.3
2023-12-31,1.85,$0.14,13.18
2023-09-30,2.22,$0.32,6.93
2023-06-30,1.57,$0.20,7.84
2023-03-31,1.68,$0.03,56.1
2022-12-31,1.71,$-0.02,0.0
2022-09-30,1.49,$-0.37,0.0
2022-06-30,1.91,$-0.60,0.0
2022-03-31,3.3,$-1.25,0.0
2021-12-31,1.7,$-1.20,0.0
2021-09-30,2.34,$-0.98,0.0
2021-06-30,3.18,$0.10,31.85
2021-03-31,2.42,$0.87,2.78
2020-12-31,1.64,$0.96,1.71
2020-09-30,1.25,$1.09,1.15
2020-06-30,1.0,$0.45,2.23
2020-03-31,0.99,$0.69,1.44
2019-12-31,2.41,$0.79,3.05
2019-09-30,2.71,$0.62,4.37
2019-06-30,2.33,$0.65,3.59
2019-03-31,4.26,$0.54,7.88
2018-12-31,2.12,$0.46,4.62
2018-09-30,3.93,$0.84,4.68
2018-06-30,5.08,$0.71,7.15
2018-03-31,5.57,$0.52,10.7
2017-12-31,8.28,$0.52,15.93
2017-09-30,6.48,$0.65,9.98
