RPC PE Ratio Historical Data,RPC PE Ratio Historical Data,RPC PE Ratio Historical Data,RPC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.48,,12.74
2024-12-31,5.94,$0.43,13.81
2024-09-30,6.32,$0.56,11.28
2024-06-30,6.17,$0.55,11.22
2024-03-31,7.6,$0.70,10.85
2023-12-31,7.1,$0.90,7.89
2023-09-30,8.68,$1.11,7.82
2023-06-30,6.91,$1.35,5.12
2023-03-31,7.39,$1.27,5.82
2022-12-31,8.5,$1.01,8.42
2022-09-30,6.61,$0.67,9.87
2022-06-30,6.58,$0.37,17.77
2022-03-31,10.15,$0.15,67.7
2021-12-31,4.32,$0.03,144.02
2021-09-30,4.63,$-0.08,0.0
2021-06-30,4.71,$-0.18,0.0
2021-03-31,5.14,$-0.30,0.0
2020-12-31,3.0,$-1.01,0.0
2020-09-30,2.51,$-1.07,0.0
2020-06-30,2.93,$-1.32,0.0
2020-03-31,1.96,$-1.17,0.0
2019-12-31,4.99,$-0.41,0.0
2019-09-30,5.34,$-0.24,0.0
2019-06-30,6.86,$0.32,21.44
2019-03-31,10.8,$0.57,18.95
2018-12-31,9.26,$0.81,11.43
2018-09-30,14.35,$1.02,14.07
2018-06-30,13.41,$1.05,12.77
2018-03-31,16.51,$0.97,17.02
2017-12-31,23.25,$0.75,31.0
2017-09-30,22.45,$0.38,59.09
2017-06-30,18.25,$-0.06,0.0
2017-03-31,16.54,$-0.49,0.0
2016-12-31,17.89,$-0.66,0.0
2016-09-30,15.13,$-0.74,0.0
2016-06-30,13.98,$-0.72,0.0
2016-03-31,12.77,$-0.65,0.0
2015-12-31,10.76,$-0.46,0.0
2015-09-30,7.97,$0.08,99.61
2015-06-30,12.45,$0.54,23.06
2015-03-31,11.5,$0.99,11.61
2014-12-31,11.61,$1.13,10.27
2014-09-30,19.42,$0.94,20.66
2014-06-30,20.67,$0.89,23.23
2014-03-31,17.89,$0.79,22.64
2013-12-31,15.54,$0.77,20.18
2013-09-30,13.39,$0.86,15.57
2013-06-30,11.88,$0.91,13.05
2013-03-31,12.95,$1.05,12.33
2012-12-31,10.38,$1.26,8.24
2012-09-30,9.83,$1.34,7.34
2012-06-30,9.77,$1.42,6.88
2012-03-31,8.66,$1.42,6.08
2011-12-31,9.85,$1.35,7.28
2011-09-30,8.76,$1.27,6.92
2011-06-30,13.13,$1.03,12.76
2011-03-31,13.5,$0.84,16.12
2010-12-31,9.62,$0.60,16.04
2010-09-30,7.47,$0.32,23.03
2010-06-30,4.8,$0.13,36.04
2010-03-31,3.9,$-0.06,0.0
2009-12-31,3.64,$-0.10,0.0
