Emerald Holding PE Ratio Historical Data,Emerald Holding PE Ratio Historical Data,Emerald Holding PE Ratio Historical Data,Emerald Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.1,,0.0
2024-12-31,4.82,$-0.08,0.0
2024-09-30,4.97,$-0.54,0.0
2024-06-30,5.66,$-0.49,0.0
2024-03-31,6.77,$-0.75,0.0
2023-12-31,5.94,$-0.79,0.0
2023-09-30,4.49,$-0.27,0.0
2023-06-30,4.07,$0.14,29.11
2023-03-31,3.7,$0.28,13.2
2022-12-31,3.52,$0.39,9.02
2022-09-30,3.36,$0.09,37.33
2022-06-30,4.05,$-0.57,0.0
2022-03-31,3.38,$-1.17,0.0
2021-12-31,3.95,$-1.55,0.0
2021-09-30,4.31,$-2.22,0.0
2021-06-30,5.36,$-2.28,0.0
2021-03-31,5.49,$-1.40,0.0
2020-12-31,5.39,$-9.08,0.0
2020-09-30,2.03,$-9.13,0.0
2020-06-30,3.06,$-9.09,0.0
2020-03-31,2.57,$-9.06,0.0
2019-12-31,10.4,$-0.71,0.0
2019-09-30,9.52,$-0.99,0.0
2019-06-30,10.82,$-0.44,0.0
2019-03-31,12.25,$-0.52,0.0
2018-12-31,11.84,$-0.38,0.0
2018-09-30,15.72,$1.39,11.31
2018-06-30,19.55,$1.36,14.38
2018-03-31,18.42,$1.20,15.35
