Greystone Housing Impact Investors LP PE Ratio Historical Data,Greystone Housing Impact Investors LP PE Ratio Historical Data,Greystone Housing Impact Investors LP PE Ratio Historical Data,Greystone Housing Impact Investors LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.89,,16.74
2024-12-31,10.25,$0.77,13.31
2024-09-30,14.03,$0.62,22.67
2024-06-30,14.43,$1.24,11.66
2024-03-31,15.48,$1.89,8.18
2023-12-31,15.54,$2.07,7.5
2023-09-30,13.94,$1.92,7.25
2023-06-30,14.47,$2.32,6.23
2023-03-31,14.77,$2.21,6.68
2022-12-31,14.55,$2.63,5.53
2022-09-30,14.08,$2.87,4.91
2022-06-30,14.45,$2.64,5.47
2022-03-31,13.9,$2.29,6.08
2021-12-31,14.51,$1.54,9.44
2021-09-30,13.07,$1.21,10.78
2021-06-30,14.52,$0.59,24.54
2021-03-31,11.72,$0.38,30.49
2020-12-31,8.87,$0.24,37.47
2020-09-30,8.33,$0.71,11.74
2020-06-30,8.36,$1.15,7.25
2020-03-31,10.47,$1.12,9.32
2019-12-31,15.04,$1.24,12.11
2019-09-30,15.72,$1.42,11.08
2019-06-30,13.48,$1.77,7.6
2019-03-31,12.78,$1.74,7.33
2018-12-31,10.27,$1.77,5.79
2018-09-30,10.19,$1.80,5.65
2018-06-30,11.11,$1.21,9.16
2018-03-31,10.59,$1.27,8.33
2017-12-31,10.17,$1.30,7.82
2017-09-30,9.97,$0.89,11.24
2017-06-30,9.61,$0.95,10.16
2017-03-31,8.86,$1.21,7.31
2016-12-31,8.36,$1.04,8.08
2016-09-30,8.93,$1.18,7.55
2016-06-30,8.12,$1.09,7.42
2016-03-31,7.61,$1.01,7.57
2015-12-31,7.16,$1.01,7.13
2015-09-30,7.19,$0.71,10.13
2015-06-30,7.49,$0.77,9.74
2015-03-31,7.35,$0.56,13.09
2014-12-31,6.79,$0.74,9.19
2014-09-30,7.54,$0.74,10.21
2014-06-30,7.44,$0.80,9.31
2014-03-31,7.31,$0.92,7.98
2013-12-31,7.46,$1.18,6.31
2013-09-30,7.94,$1.18,6.71
2013-06-30,7.72,$1.12,6.87
2013-03-31,7.98,$0.89,9.0
2012-12-31,7.35,$0.41,17.75
2012-09-30,6.49,0,0.0
2012-06-30,5.59,$-0.15,0.0
2012-03-31,5.63,$-0.18,0.0
2011-12-31,4.99,$-0.12,0.0
2011-09-30,5.1,$0.27,19.16
2011-06-30,5.31,$0.12,44.9
2011-03-31,5.34,$0.27,20.04
2010-12-31,4.83,$0.27,18.16
2010-09-30,4.88,$0.18,27.51
2010-06-30,4.78,$0.50,9.51
2010-03-31,5.03,$0.41,12.14
2009-12-31,5.04,$0.62,8.12
