Molson Coors Beverage PE Ratio Historical Data,Molson Coors Beverage PE Ratio Historical Data,Molson Coors Beverage PE Ratio Historical Data,Molson Coors Beverage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,58.99,,11.03
2024-12-31,57.32,$5.35,10.71
2024-09-30,57.11,$4.44,12.86
2024-06-30,50.06,$5.46,9.17
2024-03-31,66.23,$5.00,13.25
2023-12-31,59.86,$4.36,13.73
2023-09-30,61.78,$1.15,53.72
2023-06-30,63.55,$0.16,397.19
2023-03-31,49.56,$-1.19,0.0
2022-12-31,49.03,$-0.82,0.0
2022-09-30,45.35,$2.28,19.89
2022-06-30,51.14,$3.37,15.17
2022-03-31,49.73,$4.94,10.07
2021-12-31,42.86,$4.63,9.26
2021-09-30,42.57,$-2.06,0.0
2021-06-30,48.93,$-2.56,0.0
2021-03-31,46.61,$-3.45,0.0
2020-12-31,41.18,$-4.38,0.0
2020-09-30,30.58,$2.69,11.37
2020-06-30,31.31,$-0.75,0.0
2020-03-31,35.55,$-0.13,0.0
2019-12-31,48.54,$1.11,43.73
2019-09-30,51.2,$0.71,72.12
2019-06-30,49.32,$4.13,11.94
2019-03-31,52.14,$4.57,11.41
2018-12-31,48.77,$5.15,9.47
2018-09-30,53.4,$7.52,7.1
2018-06-30,58.72,$7.25,8.1
2018-03-31,64.59,$6.78,9.53
2017-12-31,70.0,$6.43,10.89
2017-09-30,69.26,$10.36,6.69
2017-06-30,72.91,$10.01,7.28
2017-03-31,80.48,$9.32,8.64
2016-12-31,81.5,$9.17,8.89
2016-09-30,91.58,$2.70,33.92
2016-06-30,84.02,$1.85,45.41
2016-03-31,79.58,$2.28,34.91
2015-12-31,77.36,$1.93,40.08
2015-09-30,68.08,$2.25,30.26
2015-06-30,56.91,$1.97,28.89
2015-03-31,60.35,$2.30,26.24
2014-12-31,60.09,$2.75,21.85
2014-09-30,59.73,$2.96,20.18
2014-06-30,59.21,$3.81,15.54
2014-03-31,46.73,$3.76,12.43
2013-12-31,44.29,$3.08,14.38
2013-09-30,39.3,$2.70,14.56
2013-06-30,37.27,$3.13,11.91
2013-03-31,37.87,$2.19,17.29
2012-12-31,32.88,$2.43,13.53
2012-09-30,34.34,$3.05,11.26
2012-06-30,31.49,$3.02,10.43
2012-03-31,33.97,$3.63,9.36
2011-12-31,32.45,$3.63,8.94
2011-09-30,29.28,$3.26,8.98
2011-06-30,32.83,$3.57,9.2
2011-03-31,34.16,$3.66,9.33
2010-12-31,36.33,$3.78,9.61
2010-09-30,33.99,$4.39,7.74
2010-06-30,30.3,$4.28,7.08
2010-03-31,29.87,$4.02,7.43
2009-12-31,31.89,$3.87,8.24
