Vishay Precision PE Ratio Historical Data,Vishay Precision PE Ratio Historical Data,Vishay Precision PE Ratio Historical Data,Vishay Precision PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.52,,30.43
2024-12-31,23.47,$0.74,31.72
2024-09-30,25.9,$0.99,26.16
2024-06-30,30.44,$1.55,19.64
2024-03-31,35.33,$1.81,19.52
2023-12-31,34.07,$1.88,18.12
2023-09-30,33.58,$2.22,15.13
2023-06-30,37.15,$2.50,14.86
2023-03-31,41.76,$2.69,15.52
2022-12-31,38.65,$2.64,14.64
2022-09-30,29.59,$2.43,12.18
2022-06-30,29.13,$2.08,14.0
2022-03-31,32.15,$1.58,20.35
2021-12-31,37.12,$1.48,25.08
2021-09-30,34.77,$1.05,33.11
2021-06-30,34.04,$1.07,31.81
2021-03-31,30.81,$0.91,33.86
2020-12-31,31.48,$0.79,39.85
2020-09-30,25.32,$1.06,23.89
2020-06-30,24.58,$0.98,25.08
2020-03-31,20.08,$1.26,15.94
2019-12-31,34.0,$1.63,20.86
2019-09-30,32.74,$1.60,20.46
2019-06-30,40.63,$1.83,22.2
2019-03-31,34.21,$1.99,17.19
2018-12-31,30.23,$1.75,17.27
2018-09-30,37.4,$1.83,20.44
2018-06-30,38.15,$1.59,23.99
2018-03-31,31.15,$1.29,24.15
2017-12-31,25.15,$1.07,23.5
2017-09-30,24.4,$0.96,25.42
2017-06-30,17.3,$0.72,24.03
2017-03-31,15.8,$0.59,26.78
2016-12-31,18.9,$0.48,39.38
2016-09-30,16.03,$-0.76,0.0
2016-06-30,13.42,$-0.99,0.0
2016-03-31,14.01,$-1.02,0.0
2015-12-31,11.32,$-1.01,0.0
2015-09-30,11.59,$-0.31,0.0
2015-06-30,15.06,$0.06,251.0
2015-03-31,15.93,$0.20,79.65
2014-12-31,17.16,$0.27,63.56
2014-09-30,14.94,$0.67,22.3
2014-06-30,16.46,$0.56,29.39
2014-03-31,17.38,$0.40,43.45
2013-12-31,14.89,$0.37,40.24
2013-09-30,14.55,$0.66,22.05
2013-06-30,15.14,$0.69,21.94
2013-03-31,14.69,$0.81,18.14
2012-12-31,13.22,$0.84,15.74
2012-09-30,13.98,$0.56,24.96
2012-06-30,13.95,$0.66,21.14
2012-03-31,14.83,$0.67,22.13
2011-12-31,15.98,$0.79,20.23
2011-09-30,13.18,$0.94,14.02
2011-06-30,16.88,$0.89,18.97
2011-03-31,15.67,$0.97,16.15
