Parke Bancorp PE Ratio Historical Data,Parke Bancorp PE Ratio Historical Data,Parke Bancorp PE Ratio Historical Data,Parke Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.78,,11.31
2024-12-31,20.51,$1.66,12.36
2024-09-30,20.72,$2.33,8.89
2024-06-30,17.05,$1.79,9.52
2024-03-31,16.7,$1.93,8.65
2023-12-31,19.45,$2.34,8.31
2023-09-30,15.65,$2.53,6.19
2023-06-30,15.98,$3.32,4.81
2023-03-31,16.54,$3.53,4.69
2022-12-31,19.13,$3.44,5.56
2022-09-30,19.33,$3.41,5.67
2022-06-30,19.03,$3.41,5.58
2022-03-31,21.29,$3.42,6.23
2021-12-31,19.05,$3.37,5.65
2021-09-30,19.47,$3.22,6.05
2021-06-30,17.25,$2.90,5.95
2021-03-31,17.49,$2.56,6.83
2020-12-31,13.53,$2.38,5.68
2020-09-30,10.23,$2.33,4.4
2020-06-30,11.46,$2.42,4.73
2020-03-31,11.25,$2.49,4.52
2019-12-31,19.13,$2.48,7.71
2019-09-30,16.62,$2.43,6.85
2019-06-30,17.79,$2.29,7.77
2019-03-31,15.42,$2.18,7.07
2018-12-31,13.71,$2.07,6.62
2018-09-30,16.34,$1.55,10.56
2018-06-30,17.11,$1.39,12.36
2018-03-31,13.6,$1.18,11.51
2017-12-31,13.36,$0.99,13.53
2017-09-30,14.36,$1.22,11.73
2017-06-30,14.41,$1.20,12.01
2017-03-31,12.43,$1.62,7.66
2016-12-31,11.67,$1.56,7.5
2016-09-30,8.69,$1.54,5.63
2016-06-30,7.4,$1.43,5.19
2016-03-31,6.86,$0.92,7.49
2015-12-31,6.42,$0.91,7.07
2015-09-30,6.47,$0.83,7.83
2015-06-30,6.53,$0.92,7.09
2015-03-31,6.39,$0.92,6.98
2014-12-31,5.83,$0.90,6.46
2014-09-30,5.3,$1.06,5.01
2014-06-30,5.82,$0.96,6.05
2014-03-31,5.55,$0.95,5.85
2013-12-31,4.46,$0.97,4.6
2013-09-30,4.4,$0.80,5.5
2013-06-30,3.83,$0.75,5.1
2013-03-31,3.24,$0.74,4.39
2012-12-31,2.26,$0.70,3.25
2012-09-30,2.5,$0.64,3.93
2012-06-30,2.37,$0.63,3.75
2012-03-31,2.92,$0.66,4.44
2011-12-31,2.26,$0.71,3.16
2011-09-30,2.93,$0.77,3.82
2011-06-30,3.21,$0.79,4.05
2011-03-31,3.45,$0.78,4.43
2010-12-31,3.76,$0.72,5.19
2010-09-30,3.36,$0.72,4.64
2010-06-30,3.48,$0.72,4.85
2010-03-31,3.43,$0.63,5.47
2009-12-31,3.19,$0.61,5.25
