Mogo Inc PE Ratio Historical Data,Mogo Inc PE Ratio Historical Data,Mogo Inc PE Ratio Historical Data,Mogo Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.96,,0.0
2024-09-30,1.19,$-0.47,0.0
2024-06-30,1.47,$-0.52,0.0
2024-03-31,2.0,$-0.45,0.0
2023-12-31,1.84,$-0.55,0.0
2023-09-30,1.57,$-2.99,0.0
2023-06-30,0.68,$-3.30,0.0
2023-03-31,0.66,$-4.59,0.0
2022-12-31,0.53,$-4.98,0.0
2022-09-30,0.92,$-4.05,0.0
2022-06-30,0.86,$-3.78,0.0
2022-03-31,2.91,$-1.86,0.0
2021-12-31,3.42,$-1.41,0.0
2021-09-30,4.32,$-0.36,0.0
2021-06-30,7.85,$0.06,130.83
2021-03-31,8.5,$-0.39,0.0
2020-12-31,3.77,$-1.05,0.0
2020-09-30,1.44,$-1.38,0.0
2020-06-30,0.94,$-1.98,0.0
2020-03-31,1.13,$-1.17,0.0
2019-12-31,2.57,$-0.84,0.0
2019-09-30,3.88,$-0.81,0.0
2019-06-30,3.4,$-0.99,0.0
2019-03-31,2.5,$-2.31,0.0
