COSCIENS Biopharma PE Ratio Historical Data,COSCIENS Biopharma PE Ratio Historical Data,COSCIENS Biopharma PE Ratio Historical Data,COSCIENS Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.43,,0.0
2024-09-30,3.75,$-11.87,0.0
2024-06-30,4.42,$-13.42,0.0
2024-03-31,8.76,$-14.86,0.0
2023-12-31,7.44,$-13.64,0.0
2023-09-30,10.0,$-19.24,0.0
2023-06-30,10.3,$-18.64,0.0
2023-03-31,10.48,$-20.04,0.0
2022-12-31,12.72,$-18.52,0.0
2022-09-30,15.34,$-10.28,0.0
2022-06-30,19.68,$-8.48,0.0
2022-03-31,36.76,$-7.00,0.0
2021-12-31,35.53,$-7.00,0.0
2021-09-30,75.0,$-7.00,0.0
2021-06-30,87.69,$-8.00,0.0
2021-03-31,114.0,$-21.00,0.0
2020-12-31,42.55,$-15.00,0.0
2020-09-30,35.1,$-18.00,0.0
2020-06-30,80.2,$-18.00,0.0
2020-03-31,51.2,$-2.00,0.0
2019-12-31,91.0,$-36.00,0.0
2019-09-30,103.0,$-62.00,0.0
2019-06-30,295.0,$-75.00,0.0
2019-03-31,465.0,$-92.00,0.0
2018-12-31,294.0,$25.00,11.76
2018-09-30,174.0,$53.00,3.28
2018-06-30,195.0,$7.00,27.86
2018-03-31,146.0,$5.00,29.2
2017-12-31,236.0,$-113.00,0.0
2017-09-30,203.0,$-181.00,0.0
2017-06-30,100.0,$-181.00,0.0
2017-03-31,300.0,$-234.00,0.0
2016-12-31,360.0,$-240.00,0.0
2016-09-30,344.0,$-315.00,0.0
2016-06-30,326.0,$-954.00,0.0
2016-03-31,332.0,"$-2,283.00",0.0
2015-12-31,448.0,"$-3,546.00",0.0
2015-09-30,880.0,"$-2,800.00",0.0
2015-06-30,2810.0,"$-4,100.00",0.0
2015-03-31,5362.0,"$-3,600.00",0.0
2014-12-31,6000.0,"$-3,100.00",0.0
2014-09-30,13400.0,"$-5,900.00",0.0
2014-06-30,11610.0,"$-2,600.00",0.0
2014-03-31,11700.0,"$2,000.00",5.85
2013-12-31,13800.0,"$3,500.00",3.94
2013-09-30,15100.0,"$2,800.00",5.39
2013-06-30,18600.0,"$-2,000.00",0.0
2013-03-31,18800.0,"$-3,300.48",0.0
2012-12-31,23800.0,"$-10,599.16",0.0
2012-09-30,42000.0,"$-11,898.32",0.0
2012-06-30,30300.0,"$-7,798.44",0.0
2012-03-31,128400.0,"$-17,396.52",0.0
2011-12-31,92400.0,"$-17,996.40",0.0
2011-09-30,91200.0,"$-15,596.88",0.0
2011-06-30,132000.0,"$-23,395.32",0.0
2011-03-31,116400.0,"$-19,796.04",0.0
2010-12-31,103200.0,"$-17,996.40",0.0
2010-09-30,78000.0,"$-4,799.04",0.0
2010-06-30,69000.0,"$-8,998.20",0.0
2010-03-31,47400.0,"$-19,796.04",0.0
2009-12-31,48414.0,"$-28,194.36",0.0
