Integra Resources PE Ratio Historical Data,Integra Resources PE Ratio Historical Data,Integra Resources PE Ratio Historical Data,Integra Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.24,,0.0
2024-09-30,0.98,$-0.33,0.0
2024-06-30,0.92,$-0.37,0.0
2024-03-31,0.71,$-0.42,0.0
2023-12-31,1.06,$-0.54,0.0
2023-09-30,0.84,$-0.64,0.0
2023-06-30,1.1,$-0.65,0.0
2023-03-31,0.55,$-0.70,0.0
2022-12-31,0.63,$-0.73,0.0
2022-09-30,0.53,$-0.80,0.0
2022-06-30,1.04,$-1.10,0.0
2022-03-31,1.43,$-1.38,0.0
2021-12-31,2.15,$-1.45,0.0
2021-09-30,2.28,$-1.45,0.0
