RumbleON PE Ratio Historical Data,RumbleON PE Ratio Historical Data,RumbleON PE Ratio Historical Data,RumbleON PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.46,,0.0
2024-12-31,5.43,$-2.21,0.0
2024-09-30,4.79,$-8.44,0.0
2024-06-30,4.1,$-9.11,0.0
2024-03-31,6.46,$-9.92,0.0
2023-12-31,8.14,$-10.67,0.0
2023-09-30,6.13,$-20.66,0.0
2023-06-30,12.36,$-19.48,0.0
2023-03-31,6.06,$-17.78,0.0
2022-12-31,6.47,$-16.16,0.0
2022-09-30,16.92,$2.99,5.66
2022-06-30,14.71,$-0.45,0.0
2022-03-31,34.21,$-2.37,0.0
2021-12-31,41.52,$-4.88,0.0
2021-09-30,38.98,$-8.66,0.0
2021-06-30,40.47,$-4.74,0.0
2021-03-31,43.85,$-3.22,0.0
2020-12-31,30.2,$-12.06,0.0
2020-09-30,26.65,$-22.63,0.0
2020-06-30,9.67,$-30.90,0.0
2020-03-31,4.18,$-42.97,0.0
2019-12-31,16.51,$-40.20,0.0
2019-09-30,57.8,$-38.60,0.0
2019-06-30,89.6,$-40.20,0.0
2019-03-31,98.8,$-35.80,0.0
2018-12-31,107.6,$-33.40,0.0
2018-09-30,209.6,$-27.60,0.0
