Bright Scholar Education PE Ratio Historical Data,Bright Scholar Education PE Ratio Historical Data,Bright Scholar Education PE Ratio Historical Data,Bright Scholar Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.9,,0.0
2024-11-30,1.75,$-4.83,0.0
2024-08-31,1.9,$-4.75,0.0
2024-05-31,2.3,$-0.27,0.0
2024-02-29,2.5,$0.05,50.0
2023-11-30,1.13,$-0.00,0.0
2023-05-31,1.62,$-2.12,0.0
2023-02-28,2.69,$-1.04,0.0
2022-05-31,3.13,$-1.28,0.0
2021-08-31,13.44,$-0.28,0.0
2021-05-31,15.92,$0.84,18.95
2021-02-28,25.16,$0.32,78.62
2020-11-30,24.96,$0.80,31.21
2020-08-31,29.99,$0.76,39.46
2020-05-31,27.81,$1.28,21.73
2020-02-29,30.89,$1.56,19.8
2019-11-30,36.07,$1.32,27.32
2019-08-31,33.58,$1.12,29.98
2019-05-31,36.18,$1.40,25.84
2019-02-28,41.98,$1.40,29.98
2018-11-30,41.83,$1.32,31.69
2018-08-31,45.33,$1.20,37.77
2018-05-31,67.31,$1.76,38.25
