Tapestry PE Ratio Historical Data,Tapestry PE Ratio Historical Data,Tapestry PE Ratio Historical Data,Tapestry PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,72.91,,21.13
2024-12-31,65.33,$3.45,18.94
2024-09-30,46.72,$3.46,13.5
2024-06-30,42.18,$3.51,12.02
2024-03-31,46.81,$3.78,12.38
2023-12-31,36.02,$3.96,9.1
2023-09-30,27.84,$3.93,7.08
2023-06-30,40.99,$3.88,10.57
2023-03-31,41.0,$3.68,11.14
2022-12-31,35.96,$3.36,10.7
2022-09-30,26.63,$3.15,8.45
2022-06-30,28.34,$3.16,8.97
2022-03-31,34.25,$3.10,11.05
2021-12-31,37.2,$2.96,12.57
2021-09-30,33.72,$2.92,11.55
2021-06-30,39.36,$2.95,13.34
2021-03-31,37.3,$1.20,31.08
2020-12-31,28.13,$-1.57,0.0
2020-09-30,14.15,$-1.60,0.0
2020-06-30,12.02,$-2.36,0.0
2020-03-31,11.72,$-0.79,0.0
2019-12-31,24.05,$2.06,11.67
2019-09-30,22.92,$1.86,12.32
2019-06-30,27.52,$2.21,12.45
2019-03-31,27.86,$2.43,11.46
2018-12-31,28.65,$2.51,11.42
2018-09-30,42.3,$1.85,22.87
2018-06-30,39.04,$1.37,28.5
2018-03-31,43.65,$1.17,37.31
2017-12-31,36.46,$1.12,32.55
2017-09-30,32.94,$1.61,20.46
2017-06-30,38.39,$2.09,18.37
2017-03-31,33.28,$1.85,17.99
2016-12-31,27.95,$1.82,15.36
2016-09-30,28.93,$1.72,16.82
2016-06-30,31.95,$1.65,19.36
2016-03-31,31.17,$1.40,22.26
2015-12-31,25.23,$1.32,19.11
2015-09-30,22.06,$1.37,16.1
2015-06-30,26.09,$1.45,18.0
2015-03-31,30.94,$1.68,18.42
2014-12-31,27.83,$2.04,13.64
2014-09-30,26.13,$2.44,10.71
2014-06-30,24.87,$2.78,8.95
2014-03-31,35.81,$3.29,10.88
2013-12-31,40.19,$3.45,11.65
2013-09-30,38.82,$3.62,10.72
2013-06-30,40.38,$3.62,11.16
2013-03-31,35.15,$3.70,9.5
2012-12-31,38.8,$3.63,10.69
2012-09-30,38.96,$3.58,10.88
2012-06-30,40.46,$3.54,11.43
2012-03-31,53.24,$3.36,15.84
2011-12-31,41.92,$3.21,13.06
2011-09-30,35.47,$3.03,11.71
2011-06-30,43.57,$2.93,14.87
2011-03-31,35.34,$2.89,12.23
2010-12-31,37.46,$2.77,13.52
2010-09-30,29.02,$2.52,11.51
2010-06-30,24.59,$2.33,10.55
2010-03-31,26.49,$2.14,12.38
2009-12-31,24.44,$2.00,12.22
