Fair Isaac PE Ratio Historical Data,Fair Isaac PE Ratio Historical Data,Fair Isaac PE Ratio Historical Data,Fair Isaac PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1853.46,,85.06
2024-12-31,1990.93,$21.79,91.37
2024-09-30,1943.52,$20.45,95.04
2024-06-30,1488.66,$19.02,78.27
2024-03-31,1249.61,$19.05,65.6
2023-12-31,1164.01,$17.89,65.06
2023-09-30,868.53,$16.93,51.3
2023-06-30,809.21,$16.47,49.13
2023-03-31,702.69,$15.00,46.85
2022-12-31,598.58,$14.95,40.04
2022-09-30,412.01,$14.20,29.01
2022-06-30,400.9,$13.65,29.37
2022-03-31,466.46,$15.22,30.65
2021-12-31,433.67,$13.60,31.89
2021-09-30,397.93,$13.41,29.67
2021-06-30,502.68,$12.39,40.57
2021-03-31,486.05,$9.36,51.93
2020-12-31,511.04,$8.97,56.97
2020-09-30,425.38,$7.89,53.91
2020-06-30,418.04,$7.71,54.22
2020-03-31,307.69,$7.68,40.06
2019-12-31,374.68,$6.84,54.78
2019-09-30,303.52,$6.34,47.87
2019-06-30,314.02,$6.18,50.81
2019-03-31,271.63,$5.10,53.26
2018-12-31,187.0,$5.03,37.18
2018-09-30,228.55,$4.57,50.01
2018-06-30,193.32,$4.18,46.25
2018-03-31,169.37,$3.92,43.21
2017-12-31,153.2,$3.67,41.74
2017-09-30,140.5,$3.97,35.39
2017-06-30,139.41,$3.72,37.48
2017-03-31,128.95,$4.02,32.08
2016-12-31,119.2,$3.96,30.1
2016-09-30,124.55,$3.39,36.74
2016-06-30,112.96,$3.42,33.03
2016-03-31,106.02,$2.96,35.82
2015-12-31,94.1,$2.82,33.37
2015-09-30,84.41,$2.66,31.73
2015-06-30,90.66,$2.73,33.21
2015-03-31,88.58,$2.69,32.93
2014-12-31,72.17,$2.70,26.73
2014-09-30,54.99,$2.74,20.07
2014-06-30,63.61,$2.43,26.18
2014-03-31,55.17,$2.39,23.08
2013-12-31,62.64,$2.31,27.12
2013-09-30,55.09,$2.49,22.12
2013-06-30,45.65,$2.30,19.85
2013-03-31,45.5,$2.35,19.36
2012-12-31,41.83,$2.39,17.5
2012-09-30,44.03,$2.55,17.27
2012-06-30,42.04,$2.59,16.23
2012-03-31,43.63,$2.58,16.91
2011-12-31,35.6,$2.22,16.04
2011-09-30,21.67,$1.81,11.97
2011-06-30,29.96,$1.55,19.33
2011-03-31,31.34,$1.37,22.87
2010-12-31,23.15,$1.46,15.86
2010-09-30,24.41,$1.43,17.07
2010-06-30,21.55,$1.40,15.39
2010-03-31,25.04,$1.37,18.28
2009-12-31,21.04,$1.45,14.51
