Nephros PE Ratio Historical Data,Nephros PE Ratio Historical Data,Nephros PE Ratio Historical Data,Nephros PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.5,,0.0
2024-09-30,1.71,$-0.09,0.0
2024-06-30,2.11,$-0.13,0.0
2024-03-31,2.19,$-0.14,0.0
2023-12-31,3.46,$-0.15,0.0
2023-09-30,1.48,$-0.09,0.0
2023-06-30,1.55,$-0.38,0.0
2023-03-31,1.07,$-0.46,0.0
2022-12-31,1.16,$-0.63,0.0
2022-09-30,0.91,$-0.74,0.0
2022-06-30,1.53,$-0.55,0.0
2022-03-31,4.4,$-0.55,0.0
2021-12-31,5.9,$-0.41,0.0
2021-09-30,8.77,$-0.38,0.0
2021-06-30,10.15,$-0.38,0.0
2021-03-31,6.65,$-0.45,0.0
2020-12-31,8.58,$-0.52,0.0
2020-09-30,7.23,$-0.46,0.0
2020-06-30,8.39,$-0.44,0.0
