Ituran Location And Control PE Ratio Historical Data,Ituran Location And Control PE Ratio Historical Data,Ituran Location And Control PE Ratio Historical Data,Ituran Location And Control PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.92,,14.15
2024-09-30,26.54,$2.61,10.17
2024-06-30,24.29,$2.55,9.52
2024-03-31,27.15,$2.50,10.86
2023-12-31,26.09,$2.40,10.87
2023-09-30,28.38,$2.27,12.5
2023-06-30,22.04,$2.13,10.35
2023-03-31,20.43,$1.95,10.48
2022-12-31,19.7,$1.82,10.82
2022-09-30,21.62,$1.81,11.94
2022-06-30,22.55,$1.67,13.5
2022-03-31,21.07,$1.68,12.54
2021-12-31,24.27,$1.65,14.71
2021-09-30,22.98,$1.52,15.12
2021-06-30,24.52,$1.62,15.13
2021-03-31,19.01,$0.88,21.6
2020-12-31,16.69,$0.79,21.13
2020-09-30,12.2,$-0.27,0.0
2020-06-30,14.04,$-0.42,0.0
2020-03-31,12.45,$0.25,49.81
2019-12-31,21.65,$0.32,67.67
2019-09-30,21.16,$1.76,12.02
2019-06-30,25.45,$2.70,9.43
2019-03-31,28.67,$2.90,9.88
2018-12-31,26.73,$3.06,8.74
2018-09-30,28.47,$2.82,10.1
2018-06-30,24.94,$2.08,11.99
2018-03-31,25.36,$2.01,12.62
2017-12-31,27.69,$2.09,13.25
2017-09-30,28.99,$2.06,14.07
2017-06-30,25.0,$1.95,12.82
2017-03-31,24.45,$1.81,13.51
2016-12-31,20.72,$1.53,13.54
2016-09-30,20.53,$1.38,14.88
2016-06-30,17.48,$1.28,13.66
2016-03-31,15.03,$1.20,12.52
2015-12-31,14.23,$1.19,11.96
2015-09-30,15.31,$1.23,12.45
2015-06-30,18.47,$1.35,13.68
2015-03-31,16.2,$1.42,11.41
2014-12-31,15.99,$1.44,11.1
2014-09-30,15.19,$1.30,11.69
2014-06-30,17.34,$1.22,14.21
2014-03-31,17.62,$1.19,14.81
2013-12-31,15.06,$1.13,13.33
2013-09-30,12.74,$1.15,11.08
2013-06-30,11.54,$1.07,10.78
2013-03-31,10.64,$1.23,8.65
2012-12-31,9.01,$1.18,7.64
2012-09-30,7.67,$1.26,6.09
2012-06-30,7.07,$1.33,5.32
2012-03-31,8.57,$1.16,7.39
2011-12-31,8.02,$1.23,6.52
2011-09-30,6.84,$1.22,5.61
2011-06-30,8.28,$1.17,7.07
2011-03-31,8.81,$1.09,8.08
2010-12-31,9.65,$1.01,9.55
2010-09-30,7.94,$0.99,8.02
2010-06-30,8.32,$0.94,8.85
2010-03-31,8.78,$0.83,10.58
2009-12-31,6.44,$0.87,7.4
