Middlefield Banc PE Ratio Historical Data,Middlefield Banc PE Ratio Historical Data,Middlefield Banc PE Ratio Historical Data,Middlefield Banc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.1,,19.77
2024-12-31,28.05,$1.32,21.25
2024-09-30,28.62,$1.76,16.26
2024-06-30,23.73,$1.94,12.23
2024-03-31,23.34,$2.05,11.38
2023-12-31,31.38,$2.14,14.66
2023-09-30,24.42,$2.23,10.95
2023-06-30,25.55,$2.49,10.26
2023-03-31,26.51,$2.56,10.36
2022-12-31,25.74,$2.61,9.86
2022-09-30,25.2,$2.89,8.72
2022-06-30,23.28,$3.01,7.74
2022-03-31,22.78,$3.01,7.57
2021-12-31,22.61,$3.01,7.51
2021-09-30,21.54,$2.59,8.32
2021-06-30,21.19,$2.03,10.44
2021-03-31,18.7,$1.79,10.45
2020-12-31,19.93,$1.30,15.33
2020-09-30,16.98,$1.40,12.13
2020-06-30,18.11,$1.62,11.21
2020-03-31,13.69,$1.66,8.25
2019-12-31,22.45,$1.96,11.45
2019-09-30,20.02,$2.00,10.03
2019-06-30,17.44,$2.00,8.72
2019-03-31,17.4,$1.98,8.81
2018-12-31,17.8,$1.92,9.3
2018-09-30,19.64,$1.76,11.19
2018-06-30,21.02,$1.63,12.93
2018-03-31,20.25,$1.56,12.98
2017-12-31,19.74,$1.55,12.74
2017-09-30,18.77,$1.55,12.11
2017-06-30,20.4,$1.47,13.88
2017-03-31,18.18,$1.53,11.92
2016-12-31,15.48,$1.53,10.12
2016-09-30,13.46,$1.63,8.29
2016-06-30,12.47,$1.81,6.91
2016-03-31,12.3,$1.70,7.24
2015-12-31,12.55,$1.70,7.38
2015-09-30,11.77,$1.70,6.92
2015-06-30,12.48,$1.69,7.41
2015-03-31,12.0,$1.32,9.09
2014-12-31,12.6,$0.93,13.63
2014-09-30,12.6,$0.47,27.09
2014-06-30,10.98,0,0.0
2014-03-31,10.08,0,0.0
2013-12-31,9.67,0,0.0
2013-09-30,10.31,0,0.0
2013-06-30,9.58,0,0.0
2013-03-31,10.94,0,0.0
2012-12-31,9.06,0,0.0
2012-09-30,8.16,0,0.0
2012-06-30,7.91,0,0.0
2012-03-31,7.36,0,0.0
2011-12-31,5.9,0,0.0
2011-09-30,5.73,0,0.0
2011-06-30,5.81,0,0.0
2011-03-31,5.73,0,0.0
2010-12-31,5.66,0,0.0
2010-09-30,5.32,0,0.0
2010-06-30,6.17,0,0.0
2010-03-31,6.92,0,0.0
2009-12-31,6.02,0,0.0
