BWX Technologies PE Ratio Historical Data,BWX Technologies PE Ratio Historical Data,BWX Technologies PE Ratio Historical Data,BWX Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,100.39,,32.7
2024-12-31,111.39,$3.07,36.28
2024-09-30,108.5,$3.02,35.93
2024-06-30,94.59,$2.92,32.4
2024-03-31,101.91,$2.77,36.79
2023-12-31,76.02,$2.69,28.26
2023-09-30,74.07,$2.44,30.36
2023-06-30,70.47,$2.45,28.77
2023-03-31,61.86,$2.63,23.52
2022-12-31,56.79,$2.60,21.84
2022-09-30,49.07,$3.39,14.47
2022-06-30,53.45,$3.35,15.95
2022-03-31,52.03,$3.15,16.52
2021-12-31,46.06,$3.24,14.22
2021-09-30,51.6,$2.67,19.33
2021-06-30,55.47,$2.80,19.81
2021-03-31,62.72,$2.85,22.01
2020-12-31,57.14,$2.91,19.63
2020-09-30,53.2,$2.86,18.6
2020-06-30,53.33,$2.88,18.52
2020-03-31,45.71,$2.83,16.15
2019-12-31,58.04,$2.55,22.76
2019-09-30,53.34,$2.13,25.04
2019-06-30,48.43,$2.13,22.74
2019-03-31,45.92,$2.11,21.76
2018-12-31,35.29,$2.26,15.61
2018-09-30,57.51,$1.88,30.59
2018-06-30,57.17,$1.56,36.65
2018-03-31,58.14,$1.57,37.03
2017-12-31,55.22,$1.46,37.82
2017-09-30,51.05,$1.96,26.05
2017-06-30,44.33,$1.89,23.46
2017-03-31,43.19,$1.83,23.6
2016-12-31,35.95,$1.74,20.66
2016-09-30,34.67,$1.40,24.77
2016-06-30,32.25,$1.97,16.37
2016-03-31,30.18,$1.26,23.95
2015-12-31,28.49,$1.22,23.35
2015-09-30,23.59,$0.25,94.36
2015-06-30,21.72,$-0.14,0.0
2015-03-31,21.19,$0.26,81.49
2014-12-31,19.94,$0.25,79.77
2014-09-30,18.16,$2.70,6.73
2014-06-30,21.22,$2.67,7.95
2014-03-31,21.64,$3.08,7.03
2013-12-31,22.22,$3.08,7.21
2013-09-30,21.85,$1.93,11.32
2013-06-30,19.4,$1.73,11.22
2013-03-31,18.3,$1.62,11.3
2012-12-31,16.83,$1.60,10.52
2012-09-30,16.31,$1.81,9.01
2012-06-30,15.68,$1.86,8.43
2012-03-31,16.48,$1.71,9.64
2011-12-31,15.45,$1.43,10.81
2011-09-30,12.52,$1.34,9.34
2011-06-30,17.74,$1.26,14.08
