Clearfield PE Ratio Historical Data,Clearfield PE Ratio Historical Data,Clearfield PE Ratio Historical Data,Clearfield PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.55,,0.0
2024-12-31,31.0,$-0.63,0.0
2024-09-30,38.96,$-0.85,0.0
2024-06-30,38.56,$-0.62,0.0
2024-03-31,30.84,$-0.25,0.0
2023-12-31,29.08,$0.82,35.46
2023-09-30,28.66,$2.17,13.21
2023-06-30,47.35,$3.22,14.7
2023-03-31,46.58,$3.81,12.23
2022-12-31,94.14,$3.80,24.77
2022-09-30,104.64,$3.55,29.48
2022-06-30,61.95,$2.86,21.66
2022-03-31,65.22,$2.38,27.4
2021-12-31,84.42,$1.99,42.42
2021-09-30,44.15,$1.47,30.03
2021-06-30,37.45,$1.16,32.28
2021-03-31,30.13,$0.94,32.05
2020-12-31,24.72,$0.72,34.33
2020-09-30,20.17,$0.53,38.06
2020-06-30,13.96,$0.45,31.02
2020-03-31,11.85,$0.33,35.91
2019-12-31,13.94,$0.30,46.47
2019-09-30,11.85,$0.34,34.85
2019-06-30,13.25,$0.34,38.97
2019-03-31,14.7,$0.37,39.73
2018-12-31,9.92,$0.33,30.06
2018-09-30,13.45,$0.32,42.03
2018-06-30,11.05,$0.27,40.93
2018-03-31,12.9,$0.20,64.5
2017-12-31,12.25,$0.29,42.24
2017-09-30,13.6,$0.28,48.57
2017-06-30,13.2,$0.39,33.85
2017-03-31,16.45,$0.49,33.57
2016-12-31,20.7,$0.53,39.06
2016-09-30,18.8,$0.57,32.98
2016-06-30,17.89,$0.47,38.06
2016-03-31,16.07,$0.45,35.71
2015-12-31,13.41,$0.36,37.25
2015-09-30,13.43,$0.34,39.5
2015-06-30,15.91,$0.32,49.72
2015-03-31,14.82,$0.26,57.0
2014-12-31,12.31,$0.33,37.3
2014-09-30,12.73,$0.40,31.83
2014-06-30,16.79,$0.51,32.92
2014-03-31,23.09,$0.52,44.4
2013-12-31,20.24,$0.47,43.06
2013-09-30,13.43,$0.36,37.31
2013-06-30,9.42,$0.54,17.44
2013-03-31,6.0,$0.59,10.17
2012-12-31,4.49,$0.56,8.02
2012-09-30,5.11,$0.60,8.52
2012-06-30,4.81,$0.53,9.08
2012-03-31,5.43,$0.49,11.08
2011-12-31,7.61,$0.52,14.63
2011-09-30,5.9,$0.48,12.29
2011-06-30,7.17,$0.25,28.68
2011-03-31,5.09,$0.20,25.45
2010-12-31,4.05,$0.15,27.0
2010-09-30,2.93,$0.10,29.3
2010-06-30,2.57,$0.26,9.88
2010-03-31,2.77,$0.26,10.65
2009-12-31,2.6,$0.28,9.29
