Dr Reddy's Laboratories PE Ratio Historical Data,Dr Reddy's Laboratories PE Ratio Historical Data,Dr Reddy's Laboratories PE Ratio Historical Data,Dr Reddy's Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.58,,21.62
2024-12-31,15.79,$0.63,25.14
2024-09-30,15.89,$0.63,25.38
2024-06-30,15.15,$0.80,18.94
2024-03-31,14.58,$0.81,18.09
2023-12-31,13.83,$0.76,18.25
2023-09-30,13.3,$0.74,17.92
2023-06-30,12.46,$0.69,18.01
2023-03-31,11.24,$0.67,16.88
2022-12-31,10.22,$0.54,18.92
2022-09-30,10.33,$0.47,21.89
2022-06-30,10.86,$0.47,23.2
2022-03-31,10.92,$0.38,28.75
2021-12-31,12.82,$0.46,27.99
2021-09-30,12.77,$0.35,36.69
2021-06-30,14.29,$0.31,45.8
2021-03-31,11.93,$0.31,38.25
2020-12-31,13.86,$0.34,40.52
2020-09-30,13.52,$0.24,55.87
2020-06-30,10.24,$0.30,33.68
2020-03-31,7.79,$0.33,23.75
2019-12-31,7.84,$0.28,27.79
2019-09-30,7.32,$0.46,15.91
2019-06-30,7.19,$0.36,20.08
2019-03-31,7.77,$0.32,24.13
2018-12-31,7.23,$0.30,23.94
2018-09-30,6.64,$0.28,23.37
2018-06-30,6.12,$0.25,24.3
2018-03-31,6.22,$0.18,33.78
2017-12-31,7.14,$0.19,38.4
2017-09-30,6.78,$0.21,32.93
2017-06-30,7.95,$0.21,38.23
2017-03-31,7.58,$0.22,34.76
2016-12-31,8.55,$0.17,49.11
2016-09-30,8.76,$0.19,45.63
2016-06-30,9.61,$0.27,36.15
2016-03-31,8.48,$0.36,23.56
2015-12-31,8.69,$0.44,19.57
2015-09-30,11.99,$0.45,26.77
2015-06-30,10.33,$0.43,24.13
2015-03-31,10.66,$0.42,25.38
2014-12-31,9.42,$0.42,22.64
2014-09-30,9.81,$0.43,22.92
2014-06-30,8.0,$0.45,17.78
2014-03-31,8.14,$0.42,19.29
2013-12-31,7.61,$0.45,16.99
2013-09-30,7.01,$0.41,17.09
2013-06-30,6.97,$0.38,18.33
2013-03-31,5.96,$0.38,15.68
2012-12-31,6.13,$0.34,18.03
2012-09-30,5.68,$0.38,14.96
2012-06-30,5.47,$0.36,15.18
2012-03-31,6.31,$0.35,18.04
2011-12-31,5.38,$0.35,15.36
2011-09-30,5.44,$0.31,17.56
2011-06-30,6.27,$0.31,20.23
2011-03-31,6.64,$0.30,22.14
2010-12-31,6.58,$0.26,25.31
2010-09-30,5.74,$0.04,143.42
2010-06-30,5.49,$0.02,274.64
2010-03-31,4.99,$0.02,249.38
2009-12-31,4.28,$-0.24,0.0
