Moving IMage Technologies PE Ratio Historical Data,Moving IMage Technologies PE Ratio Historical Data,Moving IMage Technologies PE Ratio Historical Data,Moving IMage Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.57,,0.0
2024-12-31,0.65,$-0.15,0.0
2024-09-30,0.57,$-0.17,0.0
2024-06-30,0.62,$-0.13,0.0
2024-03-31,0.48,$-0.21,0.0
2023-12-31,0.95,$-0.19,0.0
2023-09-30,0.87,$-0.12,0.0
2023-06-30,1.17,$-0.17,0.0
2023-03-31,1.02,$-0.12,0.0
2022-12-31,1.15,$-0.02,0.0
2022-09-30,1.1,$-0.08,0.0
2022-06-30,1.3,$-0.13,0.0
