Northfield Bancorp PE Ratio Historical Data,Northfield Bancorp PE Ratio Historical Data,Northfield Bancorp PE Ratio Historical Data,Northfield Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.33,,15.74
2024-12-31,11.62,$0.72,16.14
2024-09-30,11.49,$0.64,17.96
2024-06-30,9.28,$0.67,13.85
2024-03-31,9.38,$0.75,12.51
2023-12-31,12.0,$0.86,13.95
2023-09-30,8.89,$0.98,9.07
2023-06-30,10.22,$1.16,8.81
2023-03-31,10.81,$1.28,8.45
2022-12-31,14.31,$1.32,10.84
2022-09-30,12.91,$1.35,9.56
2022-06-30,11.65,$1.31,8.9
2022-03-31,12.71,$1.37,9.28
2021-12-31,14.19,$1.45,9.78
2021-09-30,14.96,$1.37,10.92
2021-06-30,14.19,$1.21,11.72
2021-03-31,13.66,$1.04,13.14
2020-12-31,10.5,$0.76,13.81
2020-09-30,7.69,$0.71,10.83
2020-06-30,9.6,$0.82,11.71
2020-03-31,9.23,$0.76,12.14
2019-12-31,13.89,$0.85,16.34
2019-09-30,13.06,$0.85,15.37
2019-06-30,12.61,$0.76,16.59
2019-03-31,11.15,$0.82,13.59
2018-12-31,10.79,$0.85,12.7
2018-09-30,12.59,$0.60,20.98
2018-06-30,13.06,$0.58,22.52
2018-03-31,12.19,$0.53,23.0
2017-12-31,13.25,$0.52,25.49
2017-09-30,13.38,$0.74,18.08
2017-06-30,13.16,$0.73,18.03
2017-03-31,13.77,$0.70,19.67
2016-12-31,15.19,$0.57,26.65
2016-09-30,12.19,$0.52,23.44
2016-06-30,11.17,$0.47,23.76
2016-03-31,12.32,$0.42,29.33
2015-12-31,11.87,$0.45,26.39
2015-09-30,11.29,$0.43,26.27
2015-06-30,11.12,$0.42,26.49
2015-03-31,10.9,$0.43,25.35
2014-12-31,10.83,$0.42,25.79
2014-09-30,9.92,$0.40,24.8
2014-06-30,9.5,$0.39,24.35
2014-03-31,9.27,$0.36,25.76
2013-12-31,9.47,$0.35,27.06
2013-09-30,8.67,$0.32,27.1
2013-06-30,8.33,$0.30,27.64
2013-03-31,7.86,$0.29,26.86
2012-12-31,10.5,$0.30,35.55
2012-09-30,11.03,$0.31,35.96
2012-06-30,9.78,$0.30,32.66
2012-03-31,9.79,$0.31,31.92
2011-12-31,9.66,$0.30,32.28
2011-09-30,9.0,$0.29,30.78
2011-06-30,9.51,$0.27,35.1
2011-03-31,9.29,$0.26,35.23
2010-12-31,8.94,$0.24,37.97
2010-09-30,7.23,$0.24,29.83
2010-06-30,8.64,$0.26,33.66
2010-03-31,9.6,$0.22,43.48
2009-12-31,8.94,$0.21,43.24
