Artesian Resources PE Ratio Historical Data,Artesian Resources PE Ratio Historical Data,Artesian Resources PE Ratio Historical Data,Artesian Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.36,,16.08
2024-09-30,36.85,$1.95,18.9
2024-06-30,34.57,$1.78,19.42
2024-03-31,36.23,$1.70,21.31
2023-12-31,40.14,$1.66,24.18
2023-09-30,40.39,$1.56,25.89
2023-06-30,45.15,$1.72,26.25
2023-03-31,52.66,$1.81,29.09
2022-12-31,55.46,$1.89,29.34
2022-09-30,45.32,$1.97,23.0
2022-06-30,46.07,$1.86,24.77
2022-03-31,45.22,$1.81,24.98
2021-12-31,42.9,$1.79,23.97
2021-09-30,35.12,$1.80,19.51
2021-06-30,33.62,$1.80,18.68
2021-03-31,35.77,$1.81,19.76
2020-12-31,33.47,$1.80,18.59
2020-09-30,30.89,$1.80,17.16
2020-06-30,32.29,$1.74,18.56
2020-03-31,33.02,$1.66,19.89
2019-12-31,32.66,$1.61,20.28
2019-09-30,32.25,$1.60,20.16
2019-06-30,32.18,$1.54,20.9
2019-03-31,32.05,$1.55,20.68
2018-12-31,29.79,$1.53,19.47
2018-09-30,31.21,$1.61,19.39
2018-06-30,32.69,$1.61,20.3
2018-03-31,30.57,$1.54,19.85
2017-12-31,32.09,$1.51,21.25
2017-09-30,31.27,$1.41,22.17
2017-06-30,30.94,$1.47,21.05
2017-03-31,26.6,$1.45,18.34
2016-12-31,25.89,$1.42,18.24
2016-09-30,22.95,$1.33,17.26
2016-06-30,27.09,$1.26,21.5
2016-03-31,22.15,$1.29,17.17
2015-12-31,21.78,$1.26,17.28
2015-09-30,18.81,$1.29,14.58
2015-06-30,16.27,$1.25,13.01
2015-03-31,16.33,$1.11,14.71
2014-12-31,17.08,$1.06,16.11
2014-09-30,15.08,$0.99,15.23
2014-06-30,16.66,$0.91,18.31
2014-03-31,16.49,$0.97,17.0
2013-12-31,16.69,$0.93,17.94
2013-09-30,16.03,$0.96,16.7
2013-06-30,15.9,$1.00,15.9
2013-03-31,15.89,$1.04,15.28
2012-12-31,15.72,$1.14,13.79
2012-09-30,16.14,$1.14,14.16
2012-06-30,14.83,$1.07,13.86
2012-03-31,12.8,$0.98,13.06
2011-12-31,12.7,$0.82,15.49
2011-09-30,11.69,$0.79,14.79
2011-06-30,11.9,$0.91,13.08
2011-03-31,12.75,$0.92,13.85
2010-12-31,12.27,$1.01,12.15
2010-09-30,12.23,$1.04,11.76
2010-06-30,11.72,$0.94,12.47
2010-03-31,11.1,$0.97,11.44
2009-12-31,11.38,$0.97,11.73
