VSE PE Ratio Historical Data,VSE PE Ratio Historical Data,VSE PE Ratio Historical Data,VSE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,120.61,,145.31
2024-12-31,95.1,$0.83,114.58
2024-09-30,82.66,$0.06,1377.65
2024-06-30,88.1,$0.06,1468.41
2024-03-31,79.74,$0.90,88.6
2023-12-31,64.29,$2.02,31.83
2023-09-30,50.1,$2.40,20.87
2023-06-30,54.21,$2.50,21.69
2023-03-31,44.43,$2.41,18.43
2022-12-31,46.3,$2.19,21.14
2022-09-30,34.89,$2.29,15.23
2022-06-30,36.92,$2.27,16.27
2022-03-31,45.18,$0.71,63.63
2021-12-31,59.62,$0.64,93.16
2021-09-30,47.05,$0.70,67.21
2021-06-30,48.27,$0.72,67.05
2021-03-31,38.44,$-0.36,0.0
2020-12-31,37.37,$-0.48,0.0
2020-09-30,29.66,$-0.12,0.0
2020-06-30,30.29,$0.10,302.93
2020-03-31,15.75,$3.04,5.18
2019-12-31,36.45,$3.34,10.91
2019-09-30,32.59,$3.28,9.94
2019-06-30,27.33,$3.25,8.41
2019-03-31,30.01,$3.16,9.5
2018-12-31,28.42,$3.21,8.85
2018-09-30,31.4,$3.96,7.93
2018-06-30,45.2,$3.65,12.38
2018-03-31,48.86,$3.57,13.69
2017-12-31,45.69,$3.59,12.73
2017-09-30,53.57,$2.66,20.14
2017-06-30,42.31,$2.70,15.67
2017-03-31,38.32,$2.26,16.99
2016-12-31,36.42,$2.19,16.63
2016-09-30,31.81,$2.25,14.17
2016-06-30,31.23,$2.20,14.23
2016-03-31,31.69,$2.43,13.04
2015-12-31,28.97,$2.31,12.54
2015-09-30,18.64,$1.99,9.39
2015-06-30,24.83,$1.75,14.23
2015-03-31,37.93,$1.77,21.49
2014-12-31,30.49,$1.81,16.89
2014-09-30,22.64,$1.92,11.79
2014-06-30,32.43,$2.06,15.74
2014-03-31,24.27,$2.17,11.19
2013-12-31,22.06,$2.14,10.31
2013-09-30,21.54,$1.86,11.61
2013-06-30,18.8,$1.92,9.82
2013-03-31,11.41,$1.87,6.12
2012-12-31,11.15,$2.00,5.58
2012-09-30,11.11,$2.36,4.72
2012-06-30,10.75,$2.38,4.52
2012-03-31,11.17,$2.19,5.1
2011-12-31,10.91,$1.96,5.57
2011-09-30,11.59,$1.87,6.22
2011-06-30,11.12,$1.98,5.63
2011-03-31,13.24,$2.17,6.11
2010-12-31,14.68,$2.29,6.43
2010-09-30,15.66,$2.31,6.78
2010-06-30,14.1,$2.37,5.96
2010-03-31,18.22,$2.40,7.59
2009-12-31,19.94,$2.34,8.54
