Anavex Life Sciences PE Ratio Historical Data,Anavex Life Sciences PE Ratio Historical Data,Anavex Life Sciences PE Ratio Historical Data,Anavex Life Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.93,,0.0
2024-12-31,10.74,$-0.55,0.0
2024-09-30,5.68,$-0.52,0.0
2024-06-30,4.22,$-0.50,0.0
2024-03-31,5.09,$-0.50,0.0
2023-12-31,9.31,$-0.54,0.0
2023-09-30,6.55,$-0.60,0.0
2023-06-30,8.13,$-0.66,0.0
2023-03-31,8.57,$-0.68,0.0
2022-12-31,9.26,$-0.65,0.0
2022-09-30,10.32,$-0.62,0.0
2022-06-30,10.01,$-0.59,0.0
2022-03-31,12.31,$-0.57,0.0
2021-12-31,17.34,$-0.55,0.0
2021-09-30,17.95,$-0.53,0.0
2021-06-30,22.86,$-0.48,0.0
2021-03-31,14.95,$-0.45,0.0
2020-12-31,5.4,$-0.45,0.0
2020-09-30,4.55,$-0.45,0.0
2020-06-30,4.92,$-0.42,0.0
2020-03-31,3.15,$-0.45,0.0
2019-12-31,2.59,$-0.50,0.0
2019-09-30,3.16,$-0.54,0.0
2019-06-30,3.37,$-0.60,0.0
2019-03-31,3.05,$-0.52,0.0
2018-12-31,1.56,$-0.46,0.0
2018-09-30,2.73,$-0.39,0.0
2018-06-30,2.62,$-0.38,0.0
2018-03-31,2.76,$-0.41,0.0
2017-12-31,3.22,$-0.34,0.0
2017-09-30,4.14,$-0.33,0.0
2017-06-30,5.32,$-0.39,0.0
2017-03-31,5.74,$-0.36,0.0
2016-12-31,3.96,$-0.38,0.0
2016-09-30,3.63,$-0.42,0.0
