Beam Global PE Ratio Historical Data,Beam Global PE Ratio Historical Data,Beam Global PE Ratio Historical Data,Beam Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.19,,0.0
2024-09-30,4.91,$-0.97,0.0
2024-06-30,4.61,$-1.32,0.0
2024-03-31,6.8,$-1.30,0.0
2023-12-31,7.09,$-1.47,0.0
2023-09-30,7.38,$-1.73,0.0
2023-06-30,10.35,$-2.14,0.0
2023-03-31,15.91,$-2.10,0.0
2022-12-31,17.47,$-1.96,0.0
2022-09-30,12.2,$-1.41,0.0
2022-06-30,15.52,$-0.93,0.0
2022-03-31,20.45,$-0.83,0.0
2021-12-31,18.6,$-0.73,0.0
2021-09-30,27.37,$-0.85,0.0
2021-06-30,38.31,$-0.83,0.0
2021-03-31,43.36,$-0.81,0.0
2020-12-31,73.78,$-0.85,0.0
2020-09-30,12.16,$-0.79,0.0
2020-06-30,9.97,$-0.74,0.0
2020-03-31,7.59,$-0.79,0.0
