Limoneira Co PE Ratio Historical Data,Limoneira Co PE Ratio Historical Data,Limoneira Co PE Ratio Historical Data,Limoneira Co PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.6,,29.83
2025-01-31,23.06,$0.59,39.08
2024-10-31,25.64,$0.38,67.47
2024-07-31,21.98,$0.29,75.78
2024-04-30,19.65,$-0.13,0.0
2024-01-31,17.95,$-0.58,0.0
2023-10-31,14.09,$0.47,29.98
2023-07-31,15.23,$0.51,29.85
2023-04-30,16.31,$0.98,16.65
2023-01-31,12.76,$1.16,11.0
2022-10-31,11.52,$-0.06,0.0
2022-07-31,12.17,$-0.18,0.0
2022-04-30,11.41,$-0.38,0.0
2022-01-31,14.12,$-0.36,0.0
2021-10-31,15.25,$-0.23,0.0
2021-07-31,16.85,$-0.38,0.0
2021-04-30,16.92,$-0.46,0.0
2021-01-31,14.9,$-0.85,0.0
2020-10-31,12.85,$-0.97,0.0
2020-07-31,12.46,$-0.72,0.0
2020-04-30,12.27,$-0.90,0.0
2020-01-31,17.84,$-0.46,0.0
2019-10-31,17.22,$-0.37,0.0
2019-07-31,17.94,$-0.38,0.0
2019-04-30,20.62,$0.18,114.58
2019-01-31,19.83,$0.47,42.2
2018-10-31,22.11,$1.33,16.62
2018-07-31,24.39,$1.33,18.33
2018-04-30,20.77,$1.35,15.39
2018-01-31,19.18,$1.15,16.68
2017-10-31,20.72,$0.41,50.55
2017-07-31,20.15,$0.59,34.16
2017-04-30,18.27,$0.78,23.42
2017-01-31,14.97,$0.62,24.15
2016-10-31,17.3,$0.49,35.3
2016-07-31,15.5,$0.54,28.7
2016-04-30,15.63,$0.19,82.25
2016-01-31,10.95,$0.28,39.12
2015-10-31,13.76,$0.46,29.92
2015-07-31,17.82,$0.21,84.84
2015-04-30,19.81,$0.46,43.06
2015-01-31,17.92,$0.44,40.74
2014-10-31,22.07,$0.46,47.99
2014-07-31,18.93,$0.59,32.09
2014-04-30,19.68,$0.47,41.88
2014-01-31,17.77,$0.51,34.84
2013-10-31,22.5,$0.32,70.32
2013-07-31,19.14,$0.41,46.68
2013-04-30,15.86,$0.37,42.87
2013-01-31,18.48,$0.24,77.02
2012-10-31,19.06,$0.26,73.3
2012-07-31,15.15,$0.29,52.25
2012-04-30,14.2,$0.25,56.81
2012-01-31,15.16,$0.16,94.77
2011-10-31,14.61,$0.12,121.71
2011-07-31,17.41,$-0.07,0.0
2011-04-30,18.46,$-0.05,0.0
2011-01-31,18.85,$-0.02,0.0
2010-10-31,16.94,$-0.00,0.0
2010-07-31,15.24,$0.15,101.58
2010-04-30,14.22,$-0.18,0.0
2010-01-31,11.43,$-0.18,0.0
