SunOpta PE Ratio Historical Data,SunOpta PE Ratio Historical Data,SunOpta PE Ratio Historical Data,SunOpta PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.37,,0.0
2024-12-31,7.7,$-0.15,0.0
2024-09-30,6.38,$-0.18,0.0
2024-06-30,5.4,$-1.39,0.0
2024-03-31,6.87,$-1.52,0.0
2023-12-31,5.47,$-1.53,0.0
2023-09-30,3.37,$-1.42,0.0
2023-06-30,6.69,$-0.28,0.0
2023-03-31,7.7,$-0.10,0.0
2022-12-31,8.44,$-0.08,0.0
2022-09-30,9.1,$-0.10,0.0
2022-06-30,7.78,$-0.02,0.0
2022-03-31,5.02,$-0.05,0.0
2021-12-31,6.95,$-0.08,0.0
2021-09-30,8.93,$0.72,12.4
2021-06-30,12.24,$0.73,16.77
2021-03-31,14.77,$0.73,20.23
2020-12-31,11.67,$0.74,15.77
2020-09-30,7.42,$-0.13,0.0
2020-06-30,4.7,$-0.26,0.0
2020-03-31,1.72,$-0.37,0.0
2019-12-31,2.5,$-0.12,0.0
2019-09-30,1.8,$-1.16,0.0
2019-06-30,3.29,$-1.08,0.0
2019-03-31,3.46,$-1.01,0.0
2018-12-31,3.87,$-1.34,0.0
2018-09-30,7.35,$-1.59,0.0
2018-06-30,8.4,$-1.60,0.0
2018-03-31,7.1,$-1.57,0.0
2017-12-31,7.75,$-1.66,0.0
2017-09-30,8.7,$-0.69,0.0
2017-06-30,10.2,$-0.64,0.0
2017-03-31,6.95,$-0.66,0.0
2016-12-31,7.05,$-0.62,0.0
2016-09-30,7.06,$-0.56,0.0
2016-06-30,4.19,$-0.51,0.0
2016-03-31,4.46,$-0.43,0.0
2015-12-31,6.84,$-0.23,0.0
2015-09-30,4.86,$0.09,54.0
2015-06-30,10.73,$0.07,153.29
2015-03-31,10.62,$0.17,62.47
2014-12-31,11.85,$0.19,62.37
2014-09-30,12.07,$0.20,60.35
2014-06-30,14.08,$0.25,56.32
2014-03-31,11.81,$-0.11,0.0
2013-12-31,10.01,$-0.13,0.0
2013-09-30,9.72,$-0.04,0.0
2013-06-30,7.59,$0.01,0.0
2013-03-31,7.2,$0.36,20.0
2012-12-31,5.63,$0.37,15.22
2012-09-30,6.39,$0.19,33.63
2012-06-30,5.61,$0.15,37.4
2012-03-31,5.47,$0.10,54.7
2011-12-31,4.82,$0.09,53.56
2011-09-30,4.93,$0.23,21.43
2011-06-30,7.11,$0.70,10.16
2011-03-31,7.43,$0.94,7.9
2010-12-31,7.82,$0.93,8.41
2010-09-30,6.09,$0.87,7.0
2010-06-30,4.38,$0.28,15.64
2010-03-31,4.15,0,0.0
2009-12-31,3.36,$-0.10,0.0
