Xcel Brands PE Ratio Historical Data,Xcel Brands PE Ratio Historical Data,Xcel Brands PE Ratio Historical Data,Xcel Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.29,,0.0
2024-09-30,0.75,$-1.03,0.0
2024-06-30,0.59,$-0.90,0.0
2024-03-31,0.78,$-1.09,0.0
2023-12-31,1.29,$-1.07,0.0
2023-09-30,1.05,$-1.03,0.0
2023-06-30,1.75,$-0.98,0.0
2023-03-31,0.61,$-0.32,0.0
2022-12-31,0.7,$-0.21,0.0
2022-09-30,0.95,$-0.26,0.0
2022-06-30,1.18,$-0.11,0.0
2022-03-31,1.49,$-0.67,0.0
2021-12-31,1.09,$-0.62,0.0
2021-09-30,1.49,$-0.81,0.0
2021-06-30,2.99,$-0.77,0.0
2021-03-31,1.99,$-0.76,0.0
2020-12-31,1.21,$-0.67,0.0
2020-09-30,0.77,$-0.41,0.0
2020-06-30,0.89,$-0.40,0.0
2020-03-31,0.61,$-0.23,0.0
2019-12-31,1.5,$-0.18,0.0
2019-09-30,1.93,$0.08,24.13
2019-06-30,1.45,$0.14,10.36
2019-03-31,1.7,$0.03,56.67
2018-12-31,1.13,$0.05,22.6
2018-09-30,2.35,$-0.48,0.0
2018-06-30,2.35,$-0.52,0.0
2018-03-31,3.2,$-0.50,0.0
2017-12-31,3.3,$-0.55,0.0
2017-09-30,3.7,$0.14,26.43
2017-06-30,3.05,$0.14,21.79
2017-03-31,2.7,$0.13,20.77
2016-12-31,4.4,$0.15,29.33
2016-09-30,4.99,$0.05,99.8
2016-06-30,5.03,$0.04,125.75
