Shore Bancshares Inc PE Ratio Historical Data,Shore Bancshares Inc PE Ratio Historical Data,Shore Bancshares Inc PE Ratio Historical Data,Shore Bancshares Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.88,,14.92
2024-12-31,15.85,$0.93,17.04
2024-09-30,13.89,$1.25,11.11
2024-06-30,11.26,$0.72,15.64
2024-03-31,11.19,$0.58,19.29
2023-12-31,13.72,$0.65,21.1
2023-09-30,10.03,$0.75,13.37
2023-06-30,10.9,$1.43,7.62
2023-03-31,13.32,$1.61,8.27
2022-12-31,16.14,$1.57,10.28
2022-09-30,15.95,$1.31,12.17
2022-06-30,16.93,$1.21,13.99
2022-03-31,18.63,$1.17,15.92
2021-12-31,18.85,$1.23,15.33
2021-09-30,15.94,$1.39,11.47
2021-06-30,14.95,$1.27,11.77
2021-03-31,15.09,$1.36,11.09
2020-12-31,12.84,$1.27,10.11
2020-09-30,9.56,$1.27,7.53
2020-06-30,9.54,$1.33,7.18
2020-03-31,9.21,$1.23,7.49
2019-12-31,14.62,$1.27,11.51
2019-09-30,12.89,$1.90,6.78
2019-06-30,13.57,$1.92,7.07
2019-03-31,12.31,$1.93,6.38
2018-12-31,11.93,$1.96,6.09
2018-09-30,14.54,$1.22,11.92
2018-06-30,15.45,$1.14,13.55
2018-03-31,15.25,$0.99,15.41
2017-12-31,13.45,$0.89,15.11
2017-09-30,13.36,$0.88,15.18
2017-06-30,13.16,$0.80,16.45
2017-03-31,13.32,$0.79,16.87
2016-12-31,12.13,$0.76,15.95
2016-09-30,9.33,$0.73,12.78
2016-06-30,9.28,$0.69,13.45
2016-03-31,9.44,$0.64,14.75
2015-12-31,8.55,$0.56,15.27
2015-09-30,7.62,$0.49,15.56
2015-06-30,7.38,$0.44,16.78
2015-03-31,7.19,$0.44,16.33
2014-12-31,7.31,$0.48,15.24
2014-09-30,7.05,$0.52,13.55
2014-06-30,7.05,$-0.93,0.0
2014-03-31,7.45,$-1.02,0.0
2013-12-31,7.22,$-1.14,0.0
2013-09-30,6.89,$-1.88,0.0
2013-06-30,5.76,$-0.75,0.0
2013-03-31,5.32,$-0.76,0.0
2012-12-31,4.22,$-1.15,0.0
2012-09-30,4.71,$-0.51,0.0
2012-06-30,4.68,$-0.28,0.0
2012-03-31,5.55,$-0.34,0.0
2011-12-31,4.02,$-0.11,0.0
2011-09-30,3.4,$-0.05,0.0
2011-06-30,5.43,$-0.23,0.0
2011-03-31,7.58,$-0.15,0.0
2010-12-31,8.15,$-0.21,0.0
2010-09-30,7.28,$-0.17,0.0
2010-06-30,9.1,$0.23,39.57
2010-03-31,10.84,$0.22,49.28
2009-12-31,10.97,$0.71,15.46
