Delek Logistics Partners PE Ratio Historical Data,Delek Logistics Partners PE Ratio Historical Data,Delek Logistics Partners PE Ratio Historical Data,Delek Logistics Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.6,,14.58
2024-12-31,42.26,$2.99,14.13
2024-09-30,42.5,$2.82,15.07
2024-06-30,38.28,$2.91,13.15
2024-03-31,37.72,$2.77,13.62
2023-12-31,38.82,$2.90,13.39
2023-09-30,36.92,$3.37,10.96
2023-06-30,46.85,$3.60,13.01
2023-03-31,39.77,$3.61,11.02
2022-12-31,37.95,$3.66,10.37
2022-09-30,41.97,$3.64,11.53
2022-06-30,39.4,$3.61,10.91
2022-03-31,34.91,$3.87,9.02
2021-12-31,33.19,$3.79,8.76
2021-09-30,34.44,$3.77,9.13
2021-06-30,31.21,$4.03,7.75
2021-03-31,26.16,$4.21,6.21
2020-12-31,22.69,$4.14,5.48
2020-09-30,19.47,$3.72,5.24
2020-06-30,15.31,$3.35,4.57
2020-03-31,5.8,$2.86,2.03
2019-12-31,19.8,$2.61,7.59
2019-09-30,18.86,$2.67,7.06
2019-06-30,18.79,$2.46,7.64
2019-03-31,18.54,$2.56,7.24
2018-12-31,16.28,$2.64,6.16
2018-09-30,18.45,$2.63,7.01
2018-06-30,14.61,$2.45,5.96
2018-03-31,14.59,$2.25,6.48
2017-12-31,15.95,$2.09,7.63
2017-09-30,15.36,$1.99,7.72
2017-06-30,15.76,$1.90,8.29
2017-03-31,15.67,$1.97,7.96
2016-12-31,13.18,$2.08,6.34
2016-09-30,12.82,$2.16,5.93
2016-06-30,11.69,$2.45,4.77
2016-03-31,13.49,$2.49,5.42
2015-12-31,15.01,$2.51,5.98
2015-09-30,12.49,$2.77,4.51
2015-06-30,18.8,$2.66,7.07
2015-03-31,17.55,$2.83,6.2
2014-12-31,14.13,$2.86,4.94
2014-09-30,16.02,$2.51,6.38
2014-06-30,13.37,$2.43,5.5
2014-03-31,12.76,$2.03,6.29
2013-12-31,11.97,$1.94,6.17
2013-09-30,11.42,$1.82,6.28
