Akari Therapeutics PE Ratio Historical Data,Akari Therapeutics PE Ratio Historical Data,Akari Therapeutics PE Ratio Historical Data,Akari Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.5,,inf
2024-09-30,2.95,0,0.0
2024-06-30,2.7,0,0.0
2024-03-31,1.87,0,0.0
2023-12-31,3.12,0,0.0
2023-09-30,3.95,$-2.00,0.0
2023-06-30,3.4,$-4.00,0.0
2023-03-31,3.63,$-6.40,0.0
2022-06-30,20.0,$-7.00,0.0
2022-03-31,24.0,$-7.20,0.0
2021-12-31,30.0,$-8.20,0.0
2021-09-30,32.6,$-10.20,0.0
2021-06-30,34.6,$-8.80,0.0
2021-03-31,52.8,$-12.20,0.0
2020-12-31,37.0,$-11.80,0.0
2020-09-30,34.8,$-14.80,0.0
2020-06-30,43.6,$-18.40,0.0
2020-03-31,29.0,$-18.00,0.0
2019-12-31,35.0,$-18.60,0.0
2019-09-30,34.2,$-11.60,0.0
2019-06-30,40.4,$-9.20,0.0
2019-03-31,71.6,$-5.80,0.0
2018-12-31,31.4,$-2.80,0.0
2018-09-30,51.2,$-3.60,0.0
2018-06-30,39.0,$-5.20,0.0
2018-03-31,36.4,$-3.40,0.0
2017-12-31,86.6,$-5.40,0.0
2017-09-30,122.8,$-5.60,0.0
2017-06-30,92.2,$-3.60,0.0
2017-03-31,221.4,$-13.60,0.0
2016-12-31,140.8,$-11.40,0.0
2016-09-30,170.2,$-10.00,0.0
2016-06-30,269.8,$-11.20,0.0
