William Penn Bancorporation PE Ratio Historical Data,William Penn Bancorporation PE Ratio Historical Data,William Penn Bancorporation PE Ratio Historical Data,William Penn Bancorporation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.82,,0.0
2024-12-31,12.0,$-0.12,0.0
2024-09-30,12.25,0,0.0
2024-06-30,11.4,$0.02,570.0
2024-03-31,12.35,$0.09,137.22
2023-12-31,12.21,$0.08,152.63
2023-09-30,12.48,$0.16,78.0
2023-06-30,10.15,$0.22,46.14
2023-03-31,11.33,$0.25,45.32
2022-12-31,12.12,$0.30,40.4
2022-09-30,11.37,$0.30,37.9
2022-06-30,11.67,$0.30,38.9
2022-03-31,12.69,$0.27,46.98
2021-12-31,11.99,$0.28,42.82
2021-09-30,12.12,$0.51,23.76
2021-06-30,11.53,$0.43,26.81
2021-03-31,11.11,$0.38,29.25
