Bally's PE Ratio Historical Data,Bally's PE Ratio Historical Data,Bally's PE Ratio Historical Data,Bally's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,17.78,,0.0
2024-09-30,17.25,$-15.06,0.0
2024-06-30,11.97,$-11.11,0.0
2024-03-31,13.94,$-10.35,0.0
2023-12-31,13.94,$-3.50,0.0
2023-09-30,13.11,$-7.26,0.0
2023-06-30,15.56,$-6.10,0.0
2023-03-31,19.52,$-4.64,0.0
2022-12-31,19.38,$-7.85,0.0
2022-09-30,19.76,$-0.85,0.0
2022-06-30,19.78,$-1.16,0.0
2022-03-31,30.74,$-0.74,0.0
2021-12-31,38.06,$-1.07,0.0
2021-09-30,50.14,$1.41,35.56
2021-06-30,54.11,$1.93,28.04
2021-03-31,64.98,$-0.24,0.0
2020-12-31,50.23,$-0.22,0.0
2020-09-30,26.27,$-0.43,0.0
2020-06-30,22.29,$-0.47,0.0
2020-03-31,13.01,$0.72,18.07
2019-12-31,25.54,$1.46,17.49
