Cracker Barrel Old Country Store PE Ratio Historical Data,Cracker Barrel Old Country Store PE Ratio Historical Data,Cracker Barrel Old Country Store PE Ratio Historical Data,Cracker Barrel Old Country Store PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.85,,25.37
2025-01-31,64.98,$1.61,40.36
2024-10-31,47.57,$1.81,26.28
2024-07-31,45.6,$1.84,24.78
2024-04-30,57.57,$2.71,21.25
2024-01-31,74.88,$3.75,19.97
2023-10-31,63.11,$3.93,16.06
2023-07-31,87.02,$4.45,19.56
2023-04-30,97.82,$4.24,23.07
2023-01-31,101.66,$4.80,21.18
2022-10-31,102.77,$5.03,20.43
2022-07-31,84.43,$5.67,14.89
2022-04-30,97.14,$5.73,16.95
2022-01-31,103.14,$5.95,17.33
2021-10-31,114.15,$4.94,23.11
2021-07-31,115.59,$10.71,10.79
2021-04-30,141.15,$10.23,13.8
2021-01-31,114.04,$2.01,56.74
2020-10-31,95.93,$3.97,24.16
2020-07-31,92.11,$-1.42,0.0
2020-04-30,81.21,$0.23,353.08
2020-01-31,125.64,$9.13,13.76
2019-10-31,126.72,$9.10,13.92
2019-07-31,140.38,$9.27,15.14
2019-04-30,133.02,$9.12,14.59
2019-01-31,130.8,$9.06,14.44
2018-10-31,123.16,$10.33,11.92
2018-07-31,112.8,$10.29,10.96
2018-04-30,122.67,$9.97,12.3
2018-01-31,130.56,$9.89,13.2
2017-10-31,114.72,$8.29,13.84
2017-07-31,113.31,$8.38,13.52
2017-04-30,113.44,$8.27,13.72
2017-01-31,111.12,$8.36,13.29
2016-10-31,96.31,$8.18,11.77
2016-07-31,108.91,$7.87,13.84
2016-04-30,98.52,$7.72,12.76
2016-01-31,87.67,$7.15,12.26
2015-10-31,91.01,$7.10,12.82
2015-07-31,99.77,$6.82,14.63
2015-04-30,84.76,$6.48,13.08
2015-01-31,85.45,$6.21,13.76
2014-10-31,72.73,$5.80,12.54
2014-07-31,60.57,$5.52,10.97
2014-04-30,58.59,$5.32,11.01
2014-01-31,60.75,$5.14,11.82
2013-10-31,66.93,$5.06,13.23
2013-07-31,59.22,$4.89,12.11
2013-04-30,49.67,$4.93,10.08
2013-01-31,38.68,$4.72,8.19
2012-10-31,37.68,$4.35,8.66
2012-07-31,36.82,$4.41,8.35
2012-04-30,33.59,$3.69,9.1
2012-01-31,30.49,$3.52,8.66
2011-10-31,24.52,$3.62,6.77
2011-07-31,25.94,$3.60,7.21
2011-04-30,29.33,$3.99,7.35
2011-01-31,29.34,$3.96,7.41
2010-10-31,30.58,$3.85,7.94
2010-07-31,27.68,$3.62,7.65
2010-04-30,27.79,$3.47,8.01
2010-01-31,20.72,$3.38,6.13
2009-10-31,18.49,$3.10,5.96
