American Express PE Ratio Historical Data,American Express PE Ratio Historical Data,American Express PE Ratio Historical Data,American Express PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,270.83,,19.33
2024-12-31,296.79,$14.01,21.18
2024-09-30,270.51,$13.59,19.91
2024-06-30,230.28,$13.40,17.19
2024-03-31,225.72,$12.14,18.59
2023-12-31,185.13,$11.21,16.51
2023-09-30,146.83,$10.66,13.77
2023-06-30,170.25,$9.83,17.32
2023-03-31,160.61,$9.51,16.89
2022-12-31,143.35,$9.84,14.57
2022-09-30,130.42,$9.95,13.11
2022-06-30,134.0,$9.75,13.74
2022-03-31,179.58,$9.98,17.99
2021-12-31,156.72,$9.99,15.69
2021-09-30,160.09,$9.57,16.73
2021-06-30,157.49,$8.60,18.31
2021-03-31,134.81,$6.09,22.14
2020-12-31,114.49,$3.76,30.45
2020-09-30,94.54,$4.03,23.46
2020-06-30,89.37,$4.81,18.58
2020-03-31,79.92,$6.59,12.13
2019-12-31,115.82,$7.98,14.51
2019-09-30,109.63,$8.27,13.26
2019-06-30,114.06,$8.07,14.13
2019-03-31,100.63,$7.84,12.84
2018-12-31,87.4,$7.90,11.06
2018-09-30,97.29,$4.17,23.33
2018-06-30,89.21,$3.79,23.54
2018-03-31,84.6,$3.42,24.74
2017-12-31,89.76,$2.90,30.95
2017-09-30,81.45,$5.19,15.69
2017-06-30,75.56,$4.89,15.45
2017-03-31,70.67,$5.52,12.8
2016-12-31,65.9,$5.63,11.71
2016-09-30,56.69,$5.64,10.05
2016-06-30,53.78,$5.68,9.47
2016-03-31,53.83,$5.00,10.77
2015-12-31,60.7,$5.03,12.07
2015-09-30,64.45,$5.53,11.66
2015-06-30,67.57,$5.69,11.88
2015-03-31,67.67,$5.70,11.87
2014-12-31,80.1,$5.55,14.43
2014-09-30,75.13,$5.37,13.99
2014-06-30,81.2,$5.22,15.56
2014-03-31,76.86,$5.06,15.19
2013-12-31,77.26,$4.88,15.83
2013-09-30,64.11,$4.23,15.16
2013-06-30,63.27,$4.07,15.55
2013-03-31,56.92,$3.95,14.41
2012-12-31,48.34,$3.87,12.49
2012-09-30,47.65,$4.32,11.03
2012-06-30,48.62,$4.26,11.41
2012-03-31,48.16,$4.21,11.44
2011-12-31,39.12,$4.11,9.52
2011-09-30,37.08,$3.98,9.32
2011-06-30,42.7,$3.85,11.09
2011-03-31,37.05,$3.59,10.32
2010-12-31,35.04,$3.35,10.46
2010-09-30,34.15,$3.07,11.13
2010-06-30,32.26,$2.70,11.95
2010-03-31,33.38,$1.95,17.12
2009-12-31,32.5,$1.53,21.24
