Chicago Atlantic BDC PE Ratio Historical Data,Chicago Atlantic BDC PE Ratio Historical Data,Chicago Atlantic BDC PE Ratio Historical Data,Chicago Atlantic BDC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.36,,17.21
2024-09-30,10.64,$0.66,16.12
2024-06-30,11.82,$0.89,13.28
2024-03-31,9.61,$0.87,11.05
2023-12-31,8.44,$1.17,7.21
2023-09-30,9.68,$0.77,12.57
2023-06-30,8.18,$0.66,12.39
2023-03-31,9.19,$0.50,18.38
2022-12-31,9.8,$0.12,81.67
