Altimmune PE Ratio Historical Data,Altimmune PE Ratio Historical Data,Altimmune PE Ratio Historical Data,Altimmune PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.78,,0.0
2024-12-31,7.21,$-1.34,0.0
2024-09-30,6.14,$-1.55,0.0
2024-06-30,6.65,$-1.62,0.0
2024-03-31,10.18,$-1.59,0.0
2023-12-31,11.25,$-1.65,0.0
2023-09-30,2.6,$-1.54,0.0
2023-06-30,3.53,$-1.63,0.0
2023-03-31,4.22,$-1.73,0.0
2022-12-31,16.45,$-1.77,0.0
2022-09-30,12.77,$-1.91,0.0
2022-06-30,11.7,$-2.24,0.0
2022-03-31,6.09,$-2.42,0.0
2021-12-31,9.16,$-2.36,0.0
2021-09-30,11.31,$-1.96,0.0
2021-06-30,9.85,$-1.69,0.0
2021-03-31,14.13,$-2.03,0.0
2020-12-31,11.28,$-1.91,0.0
2020-09-30,13.2,$-1.99,0.0
2020-06-30,10.71,$-2.19,0.0
2020-03-31,3.21,$-1.51,0.0
2019-12-31,1.89,$-1.52,0.0
2019-09-30,1.95,$-1.27,0.0
2019-06-30,2.38,$-2.26,0.0
2019-03-31,2.9,$-12.21,0.0
2018-12-31,2.06,$-19.45,0.0
2018-09-30,4.4,$-37.17,0.0
2018-06-30,13.35,$-97.00,0.0
2018-03-31,34.8,$-94.60,0.0
2017-12-31,59.7,$-96.10,0.0
2017-09-30,69.6,$275.98,0.25
2017-06-30,96.0,$839.04,0.11
2017-03-31,243.45,$882.88,0.28
2016-12-31,251.21,$885.89,0.28
2016-09-30,224.16,$525.53,0.43
2016-06-30,188.6,$18.02,10.47
2016-03-31,146.09,$-30.03,0.0
2015-12-31,146.86,$-18.02,0.0
2015-09-30,102.8,$-24.02,0.0
2015-06-30,139.13,$-42.04,0.0
2015-03-31,125.99,$-33.03,0.0
2014-12-31,139.91,$-51.05,0.0
2014-09-30,137.59,$-63.06,0.0
2014-06-30,108.99,$-63.06,0.0
2014-03-31,141.45,$-66.07,0.0
2013-12-31,143.77,$-66.07,0.0
2013-09-30,162.32,$-48.05,0.0
2013-06-30,122.9,$-24.02,0.0
2013-03-31,131.4,$-24.02,0.0
2012-12-31,86.57,$-30.03,0.0
2012-09-30,91.21,$-18.02,0.0
2012-06-30,107.44,$-18.02,0.0
2012-03-31,136.81,$-27.03,0.0
2011-12-31,98.17,$-21.02,0.0
2011-09-30,136.04,$-165.17,0.0
2011-06-30,227.25,$-207.21,0.0
2011-03-31,246.57,$-258.26,0.0
2010-12-31,326.96,$-330.33,0.0
2010-09-30,117.49,$-252.25,0.0
2010-06-30,123.67,$-360.36,0.0
2010-03-31,112.08,$-366.37,0.0
2009-12-31,151.49,$-351.35,0.0
