Research Solutions PE Ratio Historical Data,Research Solutions PE Ratio Historical Data,Research Solutions PE Ratio Historical Data,Research Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.85,,0.0
2024-12-31,4.15,$-0.15,0.0
2024-09-30,2.73,$-0.08,0.0
2024-06-30,2.55,$-0.14,0.0
2024-03-31,3.16,$-0.03,0.0
2023-12-31,2.6,$-0.02,0.0
2023-09-30,2.5,$-0.03,0.0
2023-06-30,2.04,$0.02,102.0
2023-03-31,2.01,$-0.01,0.0
2022-12-31,1.92,$-0.03,0.0
2022-09-30,2.04,$-0.04,0.0
2022-06-30,1.78,$-0.06,0.0
2022-03-31,2.13,$-0.04,0.0
2021-12-31,2.46,$-0.03,0.0
2021-09-30,2.62,$-0.02,0.0
2021-06-30,2.86,$-0.01,0.0
2021-03-31,2.32,$-0.01,0.0
2020-12-31,2.33,$-0.01,0.0
