Piedmont Office Realty Trust PE Ratio Historical Data,Piedmont Office Realty Trust PE Ratio Historical Data,Piedmont Office Realty Trust PE Ratio Historical Data,Piedmont Office Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.37,,0.0
2024-12-31,9.15,$-0.63,0.0
2024-09-30,9.97,$-0.62,0.0
2024-06-30,7.06,$-0.67,0.0
2024-03-31,6.73,$-0.61,0.0
2023-12-31,6.67,$-0.40,0.0
2023-09-30,5.16,$0.44,11.74
2023-06-30,6.55,$0.61,10.74
2023-03-31,6.36,$0.69,9.22
2022-12-31,7.82,$1.19,6.57
2022-09-30,8.82,$0.32,27.56
2022-06-30,10.77,$0.38,28.35
2022-03-31,13.94,$0.40,34.84
2021-12-31,14.68,$-0.01,0.0
2021-09-30,13.77,$0.43,32.03
2021-06-30,14.42,$0.41,35.17
2021-03-31,13.41,$1.85,7.25
2020-12-31,12.38,$1.84,6.73
2020-09-30,10.22,$2.95,3.46
2020-06-30,12.35,$2.95,4.19
2020-03-31,12.97,$1.49,8.7
2019-12-31,16.18,$1.82,8.89
2019-09-30,15.05,$0.88,17.1
2019-06-30,14.21,$0.94,15.12
2019-03-31,14.71,$0.97,15.17
2018-12-31,11.9,$0.99,12.02
2018-09-30,13.22,$0.43,30.75
2018-06-30,13.77,$1.17,11.77
2018-03-31,12.02,$1.24,9.69
2017-12-31,13.24,$0.92,14.4
2017-09-30,13.14,$1.34,9.8
2017-06-30,13.59,$0.38,35.77
2017-03-31,13.65,$0.77,17.73
2016-12-31,13.23,$0.74,17.88
2016-09-30,13.63,$1.37,9.95
2016-06-30,13.35,$1.45,9.21
2016-03-31,12.46,$1.10,11.32
2015-12-31,11.44,$1.15,9.95
2015-09-30,10.73,$0.39,27.51
2015-06-30,10.42,$0.46,22.65
2015-03-31,10.89,$0.34,32.03
2014-12-31,10.9,$0.28,38.94
2014-09-30,10.09,$0.38,26.56
2014-06-30,10.73,$0.44,24.38
2014-03-31,9.61,$0.57,16.86
2013-12-31,9.15,$0.60,15.25
2013-09-30,9.5,$0.51,18.63
2013-06-30,9.67,$0.45,21.5
2013-03-31,10.49,$0.42,24.98
2012-12-31,9.57,$0.55,17.4
2012-09-30,9.09,$1.15,7.9
2012-06-30,8.92,$1.38,6.46
2012-03-31,9.08,$1.32,6.88
2011-12-31,8.62,$1.30,6.63
2011-09-30,8.02,$0.78,10.29
2011-06-30,9.95,$0.72,13.82
2011-03-31,9.33,$0.71,13.14
2010-12-31,9.52,$0.70,13.61
