Herc Holdings PE Ratio Historical Data,Herc Holdings PE Ratio Historical Data,Herc Holdings PE Ratio Historical Data,Herc Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,135.04,,18.22
2024-12-31,189.33,$7.41,25.55
2024-09-30,158.9,$12.23,12.99
2024-06-30,132.25,$11.91,11.1
2024-03-31,166.98,$12.11,13.79
2023-12-31,147.06,$12.10,12.15
2023-09-30,116.88,$12.17,9.6
2023-06-30,133.82,$11.57,11.57
2023-03-31,110.7,$11.29,9.81
2022-12-31,127.31,$10.93,11.65
2022-09-30,100.08,$10.02,9.99
2022-06-30,86.45,$9.03,9.57
2022-03-31,159.44,$8.20,19.44
2021-12-31,148.83,$7.37,20.19
2021-09-30,154.97,$6.20,25.0
2021-06-30,106.25,$5.18,20.51
2021-03-31,96.07,$3.70,25.96
2020-12-31,62.96,$2.48,25.39
2020-09-30,37.55,$2.49,15.08
2020-06-30,29.13,$1.46,19.95
2020-03-31,19.4,$1.72,11.28
2019-12-31,46.4,$1.62,28.64
2019-09-30,44.09,$1.58,27.91
2019-06-30,43.45,$2.86,15.19
2019-03-31,36.96,$2.52,14.66
2018-12-31,24.64,$2.39,10.31
2018-09-30,48.54,$8.67,5.6
2018-06-30,53.41,$7.52,7.1
2018-03-31,61.58,$6.55,9.4
2017-12-31,59.36,$5.52,10.75
2017-09-30,46.58,$-2.41,0.0
2017-06-30,37.28,$-2.75,0.0
