AZUL PE Ratio Historical Data,AZUL PE Ratio Historical Data,AZUL PE Ratio Historical Data,AZUL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.85,,0.0
2024-09-30,3.44,$-7.10,0.0
2024-06-30,4.0,$-9.56,0.0
2024-03-31,7.77,$-2.44,0.0
2023-12-31,9.69,$-0.93,0.0
2023-09-30,8.59,$-1.32,0.0
2023-06-30,13.69,$-1.66,0.0
2023-03-31,7.15,$-5.80,0.0
2022-12-31,6.11,$-1.61,0.0
2022-09-30,8.14,$-3.19,0.0
2022-06-30,7.1,$-4.12,0.0
2022-03-31,15.05,$0.81,18.58
2021-12-31,13.2,$-7.16,0.0
2021-09-30,20.06,$-5.01,0.0
2021-06-30,26.4,$-3.84,0.0
2021-03-31,20.19,$-10.05,0.0
2020-12-31,22.82,$-16.10,0.0
2020-09-30,13.16,$-15.09,0.0
2020-06-30,11.18,$-14.00,0.0
2020-03-31,10.19,$-8.51,0.0
2019-12-31,42.8,$2.25,19.02
2019-09-30,35.82,$0.67,53.46
2019-06-30,33.44,$1.83,18.27
2019-03-31,29.21,$0.94,31.07
2018-12-31,27.69,$1.02,27.15
2018-09-30,17.79,$1.54,11.55
2018-06-30,16.36,$1.88,8.7
2018-03-31,34.75,$1.89,18.39
