ACRES Commercial Realty PE Ratio Historical Data,ACRES Commercial Realty PE Ratio Historical Data,ACRES Commercial Realty PE Ratio Historical Data,ACRES Commercial Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.38,,27.83
2024-09-30,15.66,$0.84,18.64
2024-06-30,12.76,$0.81,15.75
2024-03-31,14.06,$0.70,20.09
2023-12-31,9.62,$0.35,27.49
2023-09-30,8.3,$-0.72,0.0
2023-06-30,8.84,$-0.97,0.0
2023-03-31,9.72,$-0.99,0.0
2022-12-31,8.26,$-1.01,0.0
2022-09-30,8.15,$0.62,13.15
2022-06-30,8.19,$-0.49,0.0
2022-03-31,13.41,$0.47,28.53
2021-12-31,12.47,$1.80,6.93
2021-09-30,16.17,$2.99,5.41
2021-06-30,16.06,$4.53,3.55
2021-03-31,14.59,$0.07,209.03
2020-12-31,11.97,$-19.86,0.0
2020-09-30,6.27,$-21.45,0.0
2020-06-30,7.95,$-21.03,0.0
2020-03-31,8.28,$-17.01,0.0
2019-12-31,31.97,$2.43,13.15
2019-09-30,30.07,$2.76,10.89
2019-06-30,29.27,$2.40,12.19
2019-03-31,26.96,$2.40,11.23
2018-12-31,24.94,$0.66,37.78
2018-09-30,26.87,$-1.20,0.0
2018-06-30,24.57,$-0.54,0.0
2018-03-31,22.73,$-0.90,0.0
2017-12-31,22.28,$0.57,39.08
2017-09-30,25.49,$0.81,31.47
2017-06-30,23.94,$-5.49,0.0
2017-03-31,22.88,$-5.88,0.0
2016-12-31,19.41,$-5.22,0.0
2016-09-30,29.67,$-4.20,0.0
2016-06-30,28.85,$1.50,19.23
2016-03-31,24.44,$-1.23,0.0
2015-12-31,26.73,$-1.32,0.0
2015-09-30,22.67,$-0.81,0.0
2015-06-30,29.76,$-0.72,0.0
2015-03-31,33.59,$3.48,9.65
2014-12-31,36.02,$4.08,8.83
2014-09-30,33.5,$3.36,9.97
2014-06-30,37.19,$4.80,7.75
2014-03-31,35.54,$4.08,8.71
2013-12-31,36.51,$3.96,9.22
2013-09-30,35.39,$5.76,6.14
2013-06-30,35.47,$6.00,5.91
2013-03-31,36.9,$7.80,4.73
2012-12-31,30.34,$8.64,3.51
2012-09-30,30.76,$7.08,4.34
2012-06-30,26.98,$7.08,3.81
2012-03-31,26.29,$6.24,4.21
2011-12-31,26.4,$6.72,3.93
2011-09-30,22.55,$4.56,4.94
2011-06-30,27.2,$5.40,5.04
2011-03-31,27.28,$7.44,3.67
2010-12-31,29.45,$5.28,5.58
2010-09-30,24.49,$12.48,1.96
2010-06-30,21.09,$14.88,1.42
2010-03-31,24.09,$8.76,2.75
2009-12-31,16.92,$2.28,7.42
