Brunswick PE Ratio Historical Data,Brunswick PE Ratio Historical Data,Brunswick PE Ratio Historical Data,Brunswick PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,56.36,,29.66
2024-12-31,64.68,$1.90,34.04
2024-09-30,83.37,$4.02,20.74
2024-06-30,71.99,$4.96,14.51
2024-03-31,95.01,$5.38,17.66
2023-12-31,94.78,$5.95,15.93
2023-09-30,77.0,$7.02,10.97
2023-06-30,84.03,$7.61,11.04
2023-03-31,79.12,$8.30,9.53
2022-12-31,69.23,$8.99,7.7
2022-09-30,62.55,$8.34,7.5
2022-06-30,62.2,$7.97,7.8
2022-03-31,76.6,$7.67,9.99
2021-12-31,94.66,$7.57,12.5
2021-09-30,89.23,$7.47,11.95
2021-06-30,93.0,$7.37,12.62
2021-03-31,88.75,$5.97,14.87
2020-12-31,70.73,$4.68,15.11
2020-09-30,54.46,$4.30,12.67
2020-06-30,58.96,$-0.25,0.0
2020-03-31,32.43,$-0.25,0.0
2019-12-31,54.78,$-1.53,0.0
2019-09-30,47.41,$-1.86,0.0
2019-06-30,41.55,$1.76,23.61
2019-03-31,45.36,$1.77,25.63
2018-12-31,41.7,$3.01,13.86
2018-09-30,59.93,$1.20,49.94
2018-06-30,57.49,$1.28,44.91
2018-03-31,52.79,$1.70,31.05
2017-12-31,48.93,$1.59,30.77
2017-09-30,49.41,$3.10,15.94
2017-06-30,55.2,$3.15,17.52
2017-03-31,53.69,$3.00,17.9
2016-12-31,47.72,$2.99,15.96
2016-09-30,42.53,$2.70,15.75
2016-06-30,39.39,$2.58,15.27
2016-03-31,41.56,$2.66,15.63
2015-12-31,43.6,$2.56,17.03
2015-09-30,41.23,$2.61,15.8
2015-06-30,43.67,$2.90,15.06
2015-03-31,44.08,$2.58,17.08
2014-12-31,43.81,$2.58,16.98
2014-09-30,35.92,$8.79,4.09
2014-06-30,35.81,$8.30,4.31
2014-03-31,38.41,$8.23,4.67
2013-12-31,38.97,$8.16,4.78
2013-09-30,33.69,$1.16,29.04
2013-06-30,26.97,$0.57,47.32
2013-03-31,28.89,$0.61,47.35
2012-12-31,24.56,$0.51,48.15
2012-09-30,19.06,$1.02,18.69
2012-06-30,18.72,$1.05,17.83
2012-03-31,21.69,$0.90,24.1
2011-12-31,15.21,$0.77,19.76
2011-09-30,11.79,$-0.07,0.0
2011-06-30,17.13,$-0.20,0.0
2011-03-31,21.36,$-0.80,0.0
2010-12-31,15.74,$-1.25,0.0
2010-09-30,12.74,$-1.48,0.0
2010-06-30,10.41,$-2.69,0.0
2010-03-31,13.37,$-4.69,0.0
2009-12-31,10.64,$-6.62,0.0
