Kellanova PE Ratio Historical Data,Kellanova PE Ratio Historical Data,Kellanova PE Ratio Historical Data,Kellanova PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,82.33,,21.27
2024-12-31,80.97,$3.87,20.92
2024-09-30,80.14,$2.91,27.54
2024-06-30,56.87,$2.64,21.54
2024-03-31,56.49,$2.67,21.16
2023-12-31,54.57,$2.75,19.84
2023-09-30,57.47,$2.38,24.15
2023-06-30,64.46,$2.50,25.78
2023-03-31,63.48,$2.42,26.23
2022-12-31,66.94,$2.79,23.99
2022-09-30,64.93,$4.34,14.96
2022-06-30,65.96,$4.33,15.23
2022-03-31,59.13,$4.49,13.17
2021-12-31,58.54,$4.33,13.52
2021-09-30,57.54,$3.66,15.72
2021-06-30,57.38,$3.78,15.18
2021-03-31,55.96,$3.69,15.17
2020-12-31,54.47,$3.63,15.01
2020-09-30,56.04,$3.46,16.2
2020-06-30,56.86,$3.17,17.94
2020-03-31,51.19,$2.99,17.12
2019-12-31,58.48,$2.80,20.89
2019-09-30,53.94,$2.14,25.21
2019-06-30,44.5,$2.51,17.73
2019-03-31,47.17,$3.38,13.95
2018-12-31,46.39,$3.83,12.11
2018-09-30,56.47,$5.30,10.66
2018-06-30,55.92,$5.06,11.05
2018-03-31,51.59,$4.15,12.43
2017-12-31,53.52,$3.62,14.79
2017-09-30,48.71,$2.24,21.75
2017-06-30,53.81,$2.21,24.35
2017-03-31,55.84,$2.20,25.38
2016-12-31,56.29,$1.95,28.87
2016-09-30,58.75,$1.98,29.67
2016-06-30,61.53,$1.74,35.36
2016-03-31,57.3,$1.58,36.27
2015-12-31,53.73,$1.73,31.06
2015-09-30,49.12,$1.03,47.69
2015-06-30,45.94,$1.07,42.93
2015-03-31,47.94,$1.26,38.05
2014-12-31,47.22,$1.74,27.14
2014-09-30,44.11,$4.80,9.19
2014-06-30,46.7,$5.08,9.19
2014-03-31,44.27,$5.22,8.48
2013-12-31,42.79,$4.95,8.65
2013-09-30,40.85,$2.62,15.59
2013-06-30,44.33,$2.54,17.45
2013-03-31,44.16,$2.42,18.25
2012-12-31,38.01,$2.57,14.79
2012-09-30,34.88,$3.30,10.57
2012-06-30,33.02,$3.28,10.07
2012-03-31,35.59,$3.38,10.53
2011-12-31,33.28,$3.38,9.85
2011-09-30,34.7,$3.25,10.68
2011-06-30,35.8,$3.35,10.69
2011-03-31,34.69,$3.20,10.84
2010-12-31,32.57,$3.29,9.9
2010-09-30,31.95,$3.24,9.86
2010-06-30,31.56,$3.28,9.62
2010-03-31,33.29,$3.41,9.76
2009-12-31,32.91,$3.16,10.41
