Coastal Financial PE Ratio Historical Data,Coastal Financial PE Ratio Historical Data,Coastal Financial PE Ratio Historical Data,Coastal Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,85.03,,28.63
2024-09-30,53.99,$2.97,18.18
2024-06-30,46.14,$2.75,16.78
2024-03-31,38.87,$2.86,13.59
2023-12-31,44.41,$3.27,13.58
2023-09-30,42.91,$3.57,12.02
2023-06-30,37.65,$3.64,10.34
2023-03-31,36.01,$3.45,10.44
2022-12-31,47.52,$3.00,15.84
2022-09-30,39.74,$2.61,15.23
2022-06-30,38.12,$2.33,16.36
2022-03-31,45.75,$2.13,21.48
2021-12-31,50.62,$2.16,23.44
2021-09-30,31.86,$1.97,16.17
2021-06-30,28.56,$1.77,16.14
2021-03-31,26.22,$1.51,17.36
2020-12-31,21.0,$1.24,16.94
2020-09-30,12.25,$1.16,10.56
2020-06-30,14.52,$1.11,13.08
2020-03-31,10.51,$1.08,9.73
2019-12-31,16.47,$1.09,15.11
2019-09-30,15.11,$1.04,14.53
2019-06-30,15.47,$0.97,15.95
